Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 1 1978,Fri,(3) Penn State,10,@,Temple,7,
2,1,Sep 2 1978,Sat,(1) Alabama,20,,(10) Nebraska,3,
3,1,Sep 2 1978,Sat,Drake,25,,Texas-Arlington,23,
4,1,Sep 2 1978,Sat,East Carolina,14,@,Western Carolina,6,
5,1,Sep 2 1978,Sat,Mississippi State,28,,West Texas State,0,
6,1,Sep 2 1978,Sat,North Texas,49,,Texas-El Paso,0,
7,1,Sep 2 1978,Sat,Northern Michigan,30,,Eastern Michigan,3,
8,1,Sep 2 1978,Sat,Southern Mississippi,10,@,Richmond,7,
9,1,Sep 2 1978,Sat,Tulsa,21,,Arkansas State,20,
10,1,Sep 3 1978,Sun,Utah State,10,N,Idaho State,0,
11,2,Sep 9 1978,Sat,Air Force,34,@,Texas-El Paso,25,
12,2,Sep 9 1978,Sat,Appalachian State,35,,Wofford,14,
13,2,Sep 9 1978,Sat,Arizona,31,,Kansas State,0,
14,2,Sep 9 1978,Sat,Arizona State,42,,Pacific,7,
15,2,Sep 9 1978,Sat,Ball State,38,,Miami (OH),14,
16,2,Sep 9 1978,Sat,Boise State,42,,Cal State Fullerton,12,
17,2,Sep 9 1978,Sat,Brigham Young,10,@,Oregon State,6,
18,2,Sep 9 1978,Sat,Central Michigan,41,,Kent State,0,
19,2,Sep 9 1978,Sat,Chattanooga,42,@,Western Kentucky,15,
20,2,Sep 9 1978,Sat,Citadel,28,,Presbyterian,17,
21,2,Sep 9 1978,Sat,Colorado,24,,Oregon,7,
22,2,Sep 9 1978,Sat,Drake,38,,Southern Illinois,14,
23,2,Sep 9 1978,Sat,Duke,28,,Georgia Tech,10,
24,2,Sep 9 1978,Sat,(17) Florida State,28,@,Syracuse,0,
25,2,Sep 9 1978,Sat,Hawaii,22,,New Mexico,16,
26,2,Sep 9 1978,Sat,Holy Cross,19,,New Hampshire,14,
27,2,Sep 9 1978,Sat,(20) Iowa State,23,@,Rice,19,
28,2,Sep 9 1978,Sat,Long Beach State,10,@,Louisiana,0,
