Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 31 1989,Thu,(2) Notre Dame,36,N,Virginia,13,
2,1,Sep 2 1989,Sat,Air Force,52,,San Diego State,36,
3,1,Sep 2 1989,Sat,(18) Arizona,19,,Stanford,3,
4,1,Sep 2 1989,Sat,(19) Brigham Young,24,@,New Mexico,3,
5,1,Sep 2 1989,Sat,(12) Clemson,30,,Furman,0,
6,1,Sep 2 1989,Sat,Eastern Michigan,30,,Kent State,7,
7,1,Sep 2 1989,Sat,Fresno State,52,,Utah,22,
8,1,Sep 2 1989,Sat,Hawaii,31,,Tulane,26,
9,1,Sep 2 1989,Sat,(21) Houston,69,@,Nevada-Las Vegas,0,
10,1,Sep 2 1989,Sat,Kansas,41,,Montana State,17,
11,1,Sep 2 1989,Sat,Long Beach State,28,,Cal State Northridge,9,
12,1,Sep 2 1989,Sat,Louisiana Tech,40,@,Louisiana,14,
13,1,Sep 2 1989,Sat,Louisville,28,@,Wyoming,21,
14,1,Sep 2 1989,Sat,Mississippi,20,@,Memphis,13,
15,1,Sep 2 1989,Sat,Mississippi State,42,,Vanderbilt,7,
16,1,Sep 2 1989,Sat,(24) North Carolina State,10,,Maryland,6,
17,1,Sep 2 1989,Sat,Northern Illinois,26,,Cal State Fullerton,17,
18,1,Sep 2 1989,Sat,(15) Oklahoma,73,,New Mexico State,3,
19,1,Sep 2 1989,Sat,(20) Pittsburgh,38,,Pacific,3,
20,1,Sep 2 1989,Sat,Rice,35,@,Southern Methodist,6,
21,1,Sep 2 1989,Sat,Rutgers,17,@,Cincinnati,17,
22,1,Sep 2 1989,Sat,South Carolina,27,,Duke,21,
23,1,Sep 2 1989,Sat,Southern Mississippi,30,N,(6) Florida State,26,
24,1,Sep 2 1989,Sat,Tennessee,17,,Colorado State,14,
25,1,Sep 2 1989,Sat,Texas A&M,28,,(7) Louisiana State,16,
26,1,Sep 2 1989,Sat,Toledo,27,,Ohio,18,
27,1,Sep 2 1989,Sat,Tulsa,23,@,Texas-El Paso,14,
28,1,Sep 2 1989,Sat,Virginia Tech,29,,Akron,3,
29,1,Sep 2 1989,Sat,Washington State,41,,Idaho,7,
30,1,Sep 2 1989,Sat,(17) West Virginia,35,,Ball State,10,
31,1,Sep 2 1989,Sat,Western Michigan,31,,Temple,24,
32,1,Sep 4 1989,Mon,(14) Colorado,27,,Texas,6,
33,1,Sep 4 1989,Mon,(22) Illinois,14,@,(5) Southern California,13,
34,2,Sep 7 1989,Thu,Washington State,46,@,(24) Brigham Young,41,
35,2,Sep 9 1989,Sat,Akron,40,,Kent State,7,
36,2,Sep 9 1989,Sat,Appalachian State,15,@,Wake Forest,10,
37,2,Sep 9 1989,Sat,Arizona State,31,,Kansas State,0,
38,2,Sep 9 1989,Sat,Arkansas State,17,@,Memphis,13,
39,2,Sep 9 1989,Sat,(5) Auburn,55,,Pacific,0,
40,2,Sep 9 1989,Sat,Ball State,31,@,Rutgers,31,
41,2,Sep 9 1989,Sat,Cal State Fullerton,27,,Cal State Northridge,20,
42,2,Sep 9 1989,Sat,(10) Clemson,34,@,(16) Florida State,23,
43,2,Sep 9 1989,Sat,(9) Colorado,45,,Colorado State,20,
44,2,Sep 9 1989,Sat,Duke,41,,Northwestern,31,
45,2,Sep 9 1989,Sat,East Carolina,41,,Bowling Green,6,
46,2,Sep 9 1989,Sat,Eastern Michigan,14,,Youngstown State,3,
47,2,Sep 9 1989,Sat,Fresno State,52,,Montana,37,
48,2,Sep 9 1989,Sat,Hawaii,63,,Long Beach State,10,
49,2,Sep 9 1989,Sat,Iowa State,28,,Ohio,3,
50,2,Sep 9 1989,Sat,Kentucky,17,,Indiana,14,
51,2,Sep 9 1989,Sat,Lamar,21,@,Texas-El Paso,19,
52,2,Sep 9 1989,Sat,Louisiana,22,,Central Michigan,20,
53,2,Sep 9 1989,Sat,Louisville,33,@,Kansas,28,
54,2,Sep 9 1989,Sat,(3) Miami (FL),51,@,Wisconsin,3,
55,2,Sep 9 1989,Sat,Mississippi,24,@,Florida,19,
56,2,Sep 9 1989,Sat,Mississippi State,26,@,(18) Southern Mississippi,23,
57,2,Sep 9 1989,Sat,Missouri,14,,Texas Christian,10,
58,2,Sep 9 1989,Sat,(4) Nebraska,48,,Northern Illinois,17,
59,2,Sep 9 1989,Sat,Nevada-Las Vegas,16,,Weber State,12,
60,2,Sep 9 1989,Sat,New Mexico,45,,New Mexico State,13,
61,2,Sep 9 1989,Sat,North Carolina,49,,Virginia Military Institute,7,
62,2,Sep 9 1989,Sat,(25) North Carolina State,38,,Georgia Tech,28,
63,2,Sep 9 1989,Sat,(8) Oklahoma,33,,Baylor,7,
64,2,Sep 9 1989,Sat,Oregon,35,,California,19,
65,2,Sep 9 1989,Sat,Oregon State,20,,Stanford,16,
66,2,Sep 9 1989,Sat,(23) Pittsburgh,29,@,Boston College,10,
67,2,Sep 9 1989,Sat,Purdue,27,,Miami (OH),10,
68,2,Sep 9 1989,Sat,(14) Syracuse,43,@,Temple,3,
69,2,Sep 9 1989,Sat,Tennessee,24,@,(6) UCLA,6,
70,2,Sep 9 1989,Sat,Texas Tech,24,,(20) Arizona,14,
71,2,Sep 9 1989,Sat,Tulane,20,,Rice,19,
72,2,Sep 9 1989,Sat,Tulsa,20,,Oklahoma State,10,
73,2,Sep 9 1989,Sat,Utah,45,,Utah State,10,
