Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 26 1990,Sun,(8) Tennessee,31,N,(5) Colorado,31,
2,2,Aug 31 1990,Fri,(9) Southern California,34,N,Syracuse,16,
3,2,Sep 1 1990,Sat,Akron,17,,Illinois State,7,
4,2,Sep 1 1990,Sat,Arkansas State,24,@,Memphis,24,
5,2,Sep 1 1990,Sat,(16) Brigham Young,30,@,Texas-El Paso,10,
6,2,Sep 1 1990,Sat,Cal State Fullerton,38,,Sonoma State,24,
7,2,Sep 1 1990,Sat,(10) Clemson,59,,Long Beach State,0,
8,2,Sep 1 1990,Sat,Colorado State,35,@,Air Force,33,
9,2,Sep 1 1990,Sat,East Carolina,27,,Louisiana Tech,17,
10,2,Sep 1 1990,Sat,Fresno State,41,,Eastern Michigan,10,
11,2,Sep 1 1990,Sat,Kentucky,20,,Central Michigan,17,
12,2,Sep 1 1990,Sat,Louisiana,48,@,Tulane,6,
13,2,Sep 1 1990,Sat,Louisville,10,@,San Jose State,10,
14,2,Sep 1 1990,Sat,Maryland,20,,Virginia Tech,13,
15,2,Sep 1 1990,Sat,Missouri State,31,@,Nevada-Las Vegas,24,
16,2,Sep 1 1990,Sat,Montana,22,@,Oregon State,15,
17,2,Sep 1 1990,Sat,(7) Nebraska,13,,Baylor,0,
18,2,Sep 1 1990,Sat,New Mexico,29,@,New Mexico State,12,
19,2,Sep 1 1990,Sat,North Carolina,34,,Miami (OH),0,
20,2,Sep 1 1990,Sat,North Carolina State,67,,Western Carolina,0,
21,2,Sep 1 1990,Sat,Northern Illinois,28,,Eastern Illinois,17,
22,2,Sep 1 1990,Sat,Oklahoma State,10,,Tulsa,3,
23,2,Sep 1 1990,Sat,(18) Pittsburgh,35,,Ohio,3,
24,2,Sep 1 1990,Sat,Rice,33,,Wake Forest,17,
25,2,Sep 1 1990,Sat,South Carolina,21,,Duke,10,
26,2,Sep 1 1990,Sat,Southern Mississippi,12,,Delta State,0,
27,2,Sep 1 1990,Sat,(8) Tennessee,55,,Pacific,7,
28,2,Sep 1 1990,Sat,(13) Texas A&M,28,@,Hawaii,13,
29,2,Sep 1 1990,Sat,Utah,19,@,Utah State,0,
30,2,Sep 1 1990,Sat,(15) Virginia,59,@,Kansas,10,
31,2,Sep 1 1990,Sat,Washington State,21,@,Texas Christian,3,
32,2,Sep 1 1990,Sat,(25) West Virginia,35,,Kent State,24,
33,2,Sep 1 1990,Sat,Wyoming,38,,Temple,23,
34,2,Sep 2 1990,Sun,Bowling Green,34,@,Cincinnati,20,
35,3,Sep 6 1990,Thu,(6) Colorado,21,,Stanford,17,
36,3,Sep 8 1990,Sat,Air Force,27,,Hawaii,3,
37,3,Sep 8 1990,Sat,Akron,38,@,Kent State,10,
38,3,Sep 8 1990,Sat,Arizona,28,,(11) Illinois,16,
39,3,Sep 8 1990,Sat,Arizona State,34,,Baylor,13,
40,3,Sep 8 1990,Sat,Arkansas State,23,,Louisiana-Monroe,18,
41,3,Sep 8 1990,Sat,(3) Auburn,38,,Cal State Fullerton,17,
42,3,Sep 8 1990,Sat,Ball State,13,@,Illinois State,3,
43,3,Sep 8 1990,Sat,(16) Brigham Young,28,,(1) Miami (FL),21,
44,3,Sep 8 1990,Sat,California,28,@,Wisconsin,12,
45,3,Sep 8 1990,Sat,Central Michigan,34,,Cincinnati,0,
46,3,Sep 8 1990,Sat,Colorado State,41,,Montana State,5,
47,3,Sep 8 1990,Sat,Duke,27,@,Northwestern,24,
48,3,Sep 8 1990,Sat,Eastern Michigan,27,,Western Michigan,24,
49,3,Sep 8 1990,Sat,Florida,50,,Oklahoma State,7,
50,3,Sep 8 1990,Sat,(3) Florida State,45,,East Carolina,24,
51,3,Sep 8 1990,Sat,Fresno State,24,,New Mexico,17,
52,3,Sep 8 1990,Sat,Georgia Tech,21,,North Carolina State,13,
53,3,Sep 8 1990,Sat,(24) Houston,37,,Nevada-Las Vegas,9,
54,3,Sep 8 1990,Sat,Iowa State,35,,Northern Iowa,6,
55,3,Sep 8 1990,Sat,Kansas,38,,Oregon State,12,
56,3,Sep 8 1990,Sat,Kansas State,27,,Western Illinois,6,
57,3,Sep 8 1990,Sat,Louisiana,24,,Nicholls State,21,
58,3,Sep 8 1990,Sat,Louisiana State,18,,Georgia,13,
59,3,Sep 8 1990,Sat,Louisiana Tech,51,@,McNeese State,3,
60,3,Sep 8 1990,Sat,Louisville,68,,Murray State,0,
61,3,Sep 8 1990,Sat,Maryland,14,@,(25) West Virginia,10,
62,3,Sep 8 1990,Sat,Mississippi,23,,Memphis,21,
63,3,Sep 8 1990,Sat,Navy,28,,Richmond,17,
64,3,Sep 8 1990,Sat,(10) Nebraska,60,,Northern Illinois,14,
65,3,Sep 8 1990,Sat,(18) Ohio State,17,,Texas Tech,10,
66,3,Sep 8 1990,Sat,(23) Oklahoma,34,@,(19) UCLA,14,
67,3,Sep 8 1990,Sat,Oregon,42,,San Diego State,21,
68,3,Sep 8 1990,Sat,Pacific,41,,Sacramento State,33,
69,3,Sep 8 1990,Sat,(17) Pittsburgh,29,,Boston College,6,
70,3,Sep 8 1990,Sat,Rutgers,24,,Kentucky,8,
71,3,Sep 8 1990,Sat,South Carolina,27,,North Carolina,5,
72,3,Sep 8 1990,Sat,Southern Methodist,44,,Vanderbilt,7,
73,3,Sep 8 1990,Sat,Southern Mississippi,27,@,(13) Alabama,24,
74,3,Sep 8 1990,Sat,Syracuse,19,,Temple,9,
