Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 29 1985,Thu,(10) Brigham Young,28,N,Boston College,14,
2,1,Aug 31 1985,Sat,Air Force,48,,Texas-El Paso,6,
3,1,Aug 31 1985,Sat,California,48,,San Jose State,21,
4,1,Aug 31 1985,Sat,Cincinnati,31,,Virginia Tech,14,
5,1,Aug 31 1985,Sat,(19) Florida State,38,@,Tulane,12,
6,1,Aug 31 1985,Sat,Kansas,33,@,Hawaii,27,
7,1,Aug 31 1985,Sat,Memphis,37,@,Louisiana,6,
8,1,Aug 31 1985,Sat,Missouri State,31,@,Drake,24,
9,1,Aug 31 1985,Sat,Oregon,42,@,Washington State,39,
10,1,Aug 31 1985,Sat,Pittsburgh,31,,Purdue,30,
11,1,Aug 31 1985,Sat,(17) South Carolina,56,,Citadel,17,
12,1,Aug 31 1985,Sat,Southern Illinois,63,,Lincoln,0,
13,1,Sep 2 1985,Mon,Alabama,20,@,Georgia,16,
14,2,Sep 7 1985,Sat,Abilene Christian,25,,West Texas State,18,
15,2,Sep 7 1985,Sat,Arizona,23,,Toledo,10,
16,2,Sep 7 1985,Sat,(2) Auburn,49,,Louisiana,7,
17,2,Sep 7 1985,Sat,Baylor,39,,Wyoming,18,
18,2,Sep 7 1985,Sat,Boston College,28,,Temple,25,
19,2,Sep 7 1985,Sat,Bowling Green,31,@,Ball State,6,
20,2,Sep 7 1985,Sat,Cincinnati,31,,Austin Peay,9,
21,2,Sep 7 1985,Sat,Colorado,23,,Colorado State,10,
22,2,Sep 7 1985,Sat,Drake,24,,Northern Iowa,9,
23,2,Sep 7 1985,Sat,Duke,40,,Northwestern,17,
24,2,Sep 7 1985,Sat,East Carolina,33,@,North Carolina State,14,
25,2,Sep 7 1985,Sat,Eastern Michigan,27,,Youngstown State,22,
26,2,Sep 7 1985,Sat,(5) Florida,35,@,Miami (FL),23,
27,2,Sep 7 1985,Sat,(17) Florida State,17,@,(10) Nebraska,13,
28,2,Sep 7 1985,Sat,Illinois State,18,,Western Illinois,6,
29,2,Sep 7 1985,Sat,Indiana State,31,,St. Cloud State,14,
30,2,Sep 7 1985,Sat,Mississippi,17,@,Memphis,17,
31,2,Sep 7 1985,Sat,Mississippi State,22,,Arkansas State,14,
32,2,Sep 7 1985,Sat,Missouri State,40,@,Southern Illinois,28,
33,2,Sep 7 1985,Sat,Montana,31,,Cal State Fullerton,30,
34,2,Sep 7 1985,Sat,Nevada-Las Vegas,35,,Tennessee Tech,7,
35,2,Sep 7 1985,Sat,North Carolina,21,@,Navy,19,
36,2,Sep 7 1985,Sat,Northern Illinois,17,,Western Michigan,0,
37,2,Sep 7 1985,Sat,(16) Oklahoma State,31,@,(12) Washington,17,
38,2,Sep 7 1985,Sat,Oregon State,43,,Idaho,28,
39,2,Sep 7 1985,Sat,Pacific,49,,Sacramento State,17,
40,2,Sep 7 1985,Sat,(19) Penn State,20,@,(7) Maryland,18,
41,2,Sep 7 1985,Sat,Richmond,24,@,Virginia Tech,14,
42,2,Sep 7 1985,Sat,San Jose State,32,,New Mexico State,3,
43,2,Sep 7 1985,Sat,(18) South Carolina,20,,Appalachian State,13,
44,2,Sep 7 1985,Sat,(6) Southern California,20,@,(11) Illinois,10,
45,2,Sep 7 1985,Sat,(3) Southern Methodist,35,,Texas-El Paso,23,
