Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 1 1973,Sat,New Mexico State,27,@,Drake,12,
2,2,Sep 8 1973,Sat,Arizona,31,@,Colorado State,0,
3,2,Sep 8 1973,Sat,Cal Poly-Pomona,17,,Fresno State,9,
4,2,Sep 8 1973,Sat,Clemson,14,,Citadel,12,
5,2,Sep 8 1973,Sat,Dayton,22,@,Youngstown State,0,
6,2,Sep 8 1973,Sat,Eastern Kentucky,10,,Chattanooga,6,
7,2,Sep 8 1973,Sat,Furman,13,@,Presbyterian,6,
8,2,Sep 8 1973,Sat,Grambling State,29,@,Long Beach State,16,
9,2,Sep 8 1973,Sat,Holy Cross,30,@,Massachusetts,28,
10,2,Sep 8 1973,Sat,Idaho,62,,Texas-El Paso,14,
11,2,Sep 8 1973,Sat,Memphis,28,,Louisville,21,
12,2,Sep 8 1973,Sat,Mississippi,24,,Villanova,6,
13,2,Sep 8 1973,Sat,(4) Nebraska,40,,(10) UCLA,13,
14,2,Sep 8 1973,Sat,New Mexico State,24,,Lamar,7,
15,2,Sep 8 1973,Sat,(17) North Carolina State,57,,East Carolina,8,
16,2,Sep 8 1973,Sat,Northern Illinois,42,,Indiana State,24,
17,2,Sep 8 1973,Sat,Pacific,22,,Sacramento State,0,
18,2,Sep 8 1973,Sat,San Jose State,14,,Santa Clara,12,
19,2,Sep 8 1973,Sat,Temple,49,,Xavier,7,
20,2,Sep 8 1973,Sat,Texas-Arlington,31,N,North Texas,7,
21,2,Sep 8 1973,Sat,Virginia,16,,Virginia Military Institute,0,
22,2,Sep 8 1973,Sat,West Texas State,13,,Drake,10,
23,2,Sep 8 1973,Sat,Western Kentucky,42,@,Appalachian State,7,
24,2,Sep 8 1973,Sat,Western Michigan,18,@,Central Michigan,13,
25,2,Sep 8 1973,Sat,William & Mary,31,@,Virginia Tech,24,
26,2,Sep 8 1973,Sat,Wofford,23,@,Davidson,0,
27,3,Sep 15 1973,Sat,(6) Alabama,66,,California,0,
28,3,Sep 15 1973,Sat,Arizona,21,@,Wyoming,7,
29,3,Sep 15 1973,Sat,(13) Arizona State,26,@,Oregon,20,
30,3,Sep 15 1973,Sat,Arkansas State,27,,Louisiana,13,
31,3,Sep 15 1973,Sat,(12) Auburn,18,,Oregon State,9,
32,3,Sep 15 1973,Sat,Boise State,47,@,Idaho,23,
33,3,Sep 15 1973,Sat,Boston College,45,,Temple,0,
34,3,Sep 15 1973,Sat,Bowling Green,41,@,Syracuse,14,
35,3,Sep 15 1973,Sat,Cincinnati,40,,Xavier,7,
36,3,Sep 15 1973,Sat,Citadel,25,,Presbyterian,13,
37,3,Sep 15 1973,Sat,Colorado State,21,@,Brigham Young,13,
38,3,Sep 15 1973,Sat,East Carolina,13,@,Southern Mississippi,0,
39,3,Sep 15 1973,Sat,(14) Florida,21,,Kansas State,10,
40,3,Sep 15 1973,Sat,Furman,17,,Appalachian State,0,
41,3,Sep 15 1973,Sat,Hawaii,10,@,Washington,7,
42,3,Sep 15 1973,Sat,Holy Cross,38,,Northeastern,14,
43,3,Sep 15 1973,Sat,(18) Houston,24,,Rice,6,
44,3,Sep 15 1973,Sat,Illinois,28,@,Indiana,14,
45,3,Sep 15 1973,Sat,Kansas,29,,Washington State,8,
46,3,Sep 15 1973,Sat,Kent State,10,,Louisville,3,
47,3,Sep 15 1973,Sat,Kentucky,31,,Virginia Tech,26,
48,3,Sep 15 1973,Sat,Lamar,21,,Howard Payne,17,
49,3,Sep 15 1973,Sat,(15) Louisiana State,17,,(10) Colorado,6,
50,3,Sep 15 1973,Sat,Louisiana-Monroe,21,@,Mississippi State,21,
51,3,Sep 15 1973,Sat,Marshall,24,,Morehead State,17,
52,3,Sep 15 1973,Sat,Massachusetts,21,,Villanova,20,
53,3,Sep 15 1973,Sat,Memphis,24,,North Texas,3,
54,3,Sep 15 1973,Sat,Miami (OH),32,@,Dayton,0,
55,3,Sep 15 1973,Sat,(5) Michigan,31,@,Iowa,7,
56,3,Sep 15 1973,Sat,Missouri,17,,Mississippi,0,
57,3,Sep 15 1973,Sat,Navy,37,@,Virginia Military Institute,6,
58,3,Sep 15 1973,Sat,New Mexico,48,,New Mexico State,6,
59,3,Sep 15 1973,Sat,(19) North Carolina,34,,William & Mary,27,
60,3,Sep 15 1973,Sat,(17) North Carolina State,43,,Virginia,23,
61,3,Sep 15 1973,Sat,Northern Illinois,34,,Southern Illinois,28,
62,3,Sep 15 1973,Sat,Northwestern,14,,Michigan State,10,
63,3,Sep 15 1973,Sat,(3) Ohio State,56,,Minnesota,7,
64,3,Sep 15 1973,Sat,(11) Oklahoma,42,@,Baylor,14,
65,3,Sep 15 1973,Sat,Oklahoma State,56,,Texas-Arlington,7,
66,3,Sep 15 1973,Sat,Pacific,34,@,Texas-El Paso,9,
67,3,Sep 15 1973,Sat,(7) Penn State,20,@,Stanford,6,
68,3,Sep 15 1973,Sat,Pittsburgh,7,@,Georgia,7,
69,3,Sep 15 1973,Sat,Purdue,14,@,Wisconsin,13,
70,3,Sep 15 1973,Sat,Richmond,42,@,Davidson,0,
71,3,Sep 15 1973,Sat,San Jose State,24,@,Fresno State,6,
72,3,Sep 15 1973,Sat,South Carolina,41,,Georgia Tech,28,
73,3,Sep 15 1973,Sat,(1) Southern California,17,,Arkansas,0,
74,3,Sep 15 1973,Sat,Southern Methodist,49,,Santa Clara,7,
75,3,Sep 15 1973,Sat,Tampa,35,,Toledo,25,
76,3,Sep 15 1973,Sat,(9) Tennessee,21,,Duke,17,
77,3,Sep 15 1973,Sat,Texas A&M,48,,Wichita State,0,
78,3,Sep 15 1973,Sat,(20) Texas Tech,29,,Utah,22,
79,3,Sep 15 1973,Sat,Tulsa,48,,West Texas State,3,
80,3,Sep 15 1973,Sat,Utah State,10,@,Weber State,3,
81,3,Sep 15 1973,Sat,Vanderbilt,14,,Chattanooga,12,
82,3,Sep 15 1973,Sat,Wake Forest,9,,Florida State,7,
83,3,Sep 15 1973,Sat,West Virginia,20,@,Maryland,13,
84,3,Sep 15 1973,Sat,Western Michigan,13,,Long Beach State,8,
85,4,Sep 21 1973,Fri,(16) Houston,27,,South Carolina,19,
86,4,Sep 21 1973,Fri,Miami (FL),20,,(6) Texas,15,
87,4,Sep 22 1973,Sat,Air Force,24,,Oregon,17,
88,4,Sep 22 1973,Sat,(4) Alabama,28,@,Kentucky,14,
89,4,Sep 22 1973,Sat,Arizona,26,,Indiana,10,
90,4,Sep 22 1973,Sat,(13) Arizona State,20,,Washington State,9,
91,4,Sep 22 1973,Sat,(12) Auburn,31,,Chattanooga,0,
92,4,Sep 22 1973,Sat,Baylor,20,@,Pittsburgh,14,
93,4,Sep 22 1973,Sat,(20) Bowling Green,31,@,Dayton,16,
94,4,Sep 22 1973,Sat,Colgate,55,@,Lafayette,21,
95,4,Sep 22 1973,Sat,(19) Colorado,28,@,Wisconsin,25,
96,4,Sep 22 1973,Sat,Colorado State,31,,New Mexico State,27,
97,4,Sep 22 1973,Sat,Davidson,20,,Lenoir-Rhyne,17,
98,4,Sep 22 1973,Sat,Duke,23,,Washington,21,
99,4,Sep 22 1973,Sat,East Carolina,42,@,Southern Illinois,25,
100,4,Sep 22 1973,Sat,(15) Florida,14,,Southern Mississippi,13,
101,4,Sep 22 1973,Sat,Furman,21,@,Wofford,19,
102,4,Sep 22 1973,Sat,Georgia,31,,Clemson,14,
103,4,Sep 22 1973,Sat,Hawaii,13,@,Fresno State,10,
104,4,Sep 22 1973,Sat,Holy Cross,31,@,New Hampshire,0,
105,4,Sep 22 1973,Sat,Illinois,27,@,California,7,
106,4,Sep 22 1973,Sat,Illinois State,24,,Citadel,6,
107,4,Sep 22 1973,Sat,Iowa State,48,,Idaho,0,
108,4,Sep 22 1973,Sat,Kansas,28,@,Florida State,0,
109,4,Sep 22 1973,Sat,Kansas State,21,,Tulsa,0,
110,4,Sep 22 1973,Sat,Kent State,35,@,Ohio,7,
111,4,Sep 22 1973,Sat,(11) Louisiana State,28,,Texas A&M,23,
112,4,Sep 22 1973,Sat,Louisiana Tech,23,,Louisiana,0,
113,4,Sep 22 1973,Sat,Louisville,27,@,Drake,17,
114,4,Sep 22 1973,Sat,Maryland,23,@,North Carolina,3,
115,4,Sep 22 1973,Sat,McNeese State,20,,Lamar,7,
