Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 10 1966,Sat,Baylor,35,,(7) Syracuse,12,
2,1,Sep 10 1966,Sat,New Mexico State,35,,Howard Payne,7,
3,2,Sep 17 1966,Sat,Arizona State,30,,Texas-El Paso,26,
4,2,Sep 17 1966,Sat,(5) Arkansas,14,,Oklahoma State,10,
5,2,Sep 17 1966,Sat,Army,21,,Kansas State,6,
6,2,Sep 17 1966,Sat,Auburn,20,,Chattanooga,6,
7,2,Sep 17 1966,Sat,Buffalo,27,@,Kent State,23,
8,2,Sep 17 1966,Sat,California,21,@,Washington State,6,
9,2,Sep 17 1966,Sat,Colgate,34,,Boston University,0,
10,2,Sep 17 1966,Sat,Davidson,13,,George Washington,9,
11,2,Sep 17 1966,Sat,Dayton,23,,Richmond,0,
12,2,Sep 17 1966,Sat,Duke,34,,West Virginia,15,
13,2,Sep 17 1966,Sat,East Carolina,7,@,William & Mary,7,
14,2,Sep 17 1966,Sat,Florida,43,,Northwestern,7,
15,2,Sep 17 1966,Sat,Georgia,20,@,Mississippi State,17,
16,2,Sep 17 1966,Sat,Georgia Tech,38,,Texas A&M,3,
17,2,Sep 17 1966,Sat,Houston,21,@,Florida State,13,
18,2,Sep 17 1966,Sat,Iowa,31,,Arizona,20,
19,2,Sep 17 1966,Sat,Kentucky,10,,North Carolina,0,
20,2,Sep 17 1966,Sat,Louisiana State,28,,South Carolina,12,
21,2,Sep 17 1966,Sat,Marshall,27,,Morehead State,20,
22,2,Sep 17 1966,Sat,Miami (FL),24,@,Colorado,3,
23,2,Sep 17 1966,Sat,Miami (OH),20,@,Indiana,10,
24,2,Sep 17 1966,Sat,Michigan,41,,Oregon State,0,
25,2,Sep 17 1966,Sat,(2) Michigan State,28,,North Carolina State,10,
26,2,Sep 17 1966,Sat,Mississippi,13,@,Memphis,0,
27,2,Sep 17 1966,Sat,Missouri,24,,Minnesota,0,
28,2,Sep 17 1966,Sat,Navy,27,,Boston College,7,
29,2,Sep 17 1966,Sat,(3) Nebraska,14,,Texas Christian,10,
30,2,Sep 17 1966,Sat,New Mexico,17,,Utah State,8,
31,2,Sep 17 1966,Sat,North Texas,25,,New Mexico State,21,
32,2,Sep 17 1966,Sat,Oklahoma,17,,Oregon,0,
33,2,Sep 17 1966,Sat,Pacific,30,,Cal State Los Angeles,7,
34,2,Sep 17 1966,Sat,Parsons,20,@,Furman,6,
35,2,Sep 17 1966,Sat,Penn State,15,,Maryland,7,
36,2,Sep 17 1966,Sat,(8) Purdue,42,,Ohio,3,
37,2,Sep 17 1966,Sat,(9) Southern California,10,@,Texas,6,
38,2,Sep 17 1966,Sat,Southern Illinois,17,,Wichita State,7,
39,2,Sep 17 1966,Sat,Southern Methodist,26,,Illinois,7,
40,2,Sep 17 1966,Sat,Southern Mississippi,14,,Louisiana Tech,0,
41,2,Sep 17 1966,Sat,Stanford,25,,San Jose State,21,
42,2,Sep 17 1966,Sat,Texas Tech,23,@,Kansas,7,
43,2,Sep 17 1966,Sat,Toledo,9,,Xavier,0,
44,2,Sep 17 1966,Sat,Tulane,13,,Virginia Tech,0,
45,2,Sep 17 1966,Sat,Tulsa,57,,Tampa,11,
46,2,Sep 17 1966,Sat,(4) UCLA,57,,Pittsburgh,14,
47,2,Sep 17 1966,Sat,Vanderbilt,24,,Citadel,0,
48,2,Sep 17 1966,Sat,Virginia,24,,Wake Forest,10,
49,2,Sep 17 1966,Sat,Virginia Military Institute,14,@,Villanova,13,
50,2,Sep 17 1966,Sat,Washington,19,,Idaho,7,
51,2,Sep 17 1966,Sat,West Texas State,38,,Texas-Arlington,6,
52,2,Sep 17 1966,Sat,Western Michigan,16,,Lamar,14,
53,2,Sep 17 1966,Sat,Wisconsin,20,,Iowa State,10,
54,2,Sep 17 1966,Sat,Wyoming,13,@,Air Force,0,
55,3,Sep 23 1966,Fri,Houston,21,,Washington State,7,
56,3,Sep 24 1966,Sat,Air Force,10,@,Washington,0,
57,3,Sep 24 1966,Sat,(3) Alabama,34,,Louisiana Tech,0,
58,3,Sep 24 1966,Sat,(6) Arkansas,27,,Tulsa,8,
59,3,Sep 24 1966,Sat,Army,14,,Holy Cross,0,
60,3,Sep 24 1966,Sat,Brigham Young,19,@,San Jose State,9,
61,3,Sep 24 1966,Sat,Brown,40,,Rhode Island,27,
62,3,Sep 24 1966,Sat,Citadel,24,,Richmond,6,
63,3,Sep 24 1966,Sat,Clemson,40,,Virginia,35,
64,3,Sep 24 1966,Sat,Colgate,38,@,Columbia,0,
65,3,Sep 24 1966,Sat,Colorado,13,@,(10) Baylor,7,
66,3,Sep 24 1966,Sat,Colorado State,45,@,South Dakota State,14,
67,3,Sep 24 1966,Sat,Cornell,28,@,Buffalo,21,
68,3,Sep 24 1966,Sat,Dartmouth,17,,Massachusetts,7,
69,3,Sep 24 1966,Sat,Dayton,23,@,Cincinnati,7,
70,3,Sep 24 1966,Sat,Duke,14,@,Pittsburgh,7,
