Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 1 1980,Mon,(10) Texas,23,,(6) Arkansas,17,
2,2,Sep 5 1980,Fri,Northern Illinois,16,@,Long Beach State,9,
3,2,Sep 6 1980,Sat,(2) Alabama,26,,Georgia Tech,3,
4,2,Sep 6 1980,Sat,Appalachian State,34,@,James Madison,6,
5,2,Sep 6 1980,Sat,Boise State,28,@,Utah,7,
6,2,Sep 6 1980,Sat,Cal State Fullerton,39,@,Fresno State,25,
7,2,Sep 6 1980,Sat,Central Michigan,21,,Ball State,17,
8,2,Sep 6 1980,Sat,Chattanooga,16,@,Jacksonville State,13,
9,2,Sep 6 1980,Sat,Citadel,21,,Presbyterian,14,
10,2,Sep 6 1980,Sat,Colorado State,21,,Air Force,9,
11,2,Sep 6 1980,Sat,East Carolina,35,@,Duke,10,
12,2,Sep 6 1980,Sat,(13) Florida State,16,@,Louisiana State,0,
13,2,Sep 6 1980,Sat,(16) Georgia,16,@,Tennessee,15,
14,2,Sep 6 1980,Sat,Holy Cross,21,,Rhode Island,14,
15,2,Sep 6 1980,Sat,Illinois,35,,Northwestern,9,
16,2,Sep 6 1980,Sat,Illinois State,28,,Nicholls State,13,
17,2,Sep 6 1980,Sat,Indiana State,13,@,Drake,10,
18,2,Sep 6 1980,Sat,Kentucky,17,,Utah State,10,
19,2,Sep 6 1980,Sat,Lamar,41,@,Texas Southern,8,
20,2,Sep 6 1980,Sat,Louisiana,14,,New Mexico State,12,
21,2,Sep 6 1980,Sat,Marshall,35,@,Morehead State,8,
22,2,Sep 6 1980,Sat,Maryland,7,,Villanova,3,
23,2,Sep 6 1980,Sat,McNeese State,20,@,West Texas State,17,
24,2,Sep 6 1980,Sat,Miami (FL),24,@,Louisville,10,
25,2,Sep 6 1980,Sat,Mississippi State,34,@,Memphis,7,
26,2,Sep 6 1980,Sat,New Mexico,25,,Brigham Young,21,
27,2,Sep 6 1980,Sat,(14) North Carolina,35,,Furman,13,
28,2,Sep 6 1980,Sat,North Carolina State,42,,William & Mary,0,
29,2,Sep 6 1980,Sat,North Texas,31,@,Texas-Arlington,14,
30,2,Sep 6 1980,Sat,(11) Notre Dame,31,,(9) Purdue,10,
31,2,Sep 6 1980,Sat,(18) Penn State,54,,Colgate,10,
32,2,Sep 6 1980,Sat,Richmond,20,,Bowling Green,17,
33,2,Sep 6 1980,Sat,San Jose State,28,,Santa Clara,14,
34,2,Sep 6 1980,Sat,South Carolina,37,,Pacific,0,
35,2,Sep 6 1980,Sat,Southern Mississippi,17,@,Tulane,14,
36,2,Sep 6 1980,Sat,(15) Stanford,35,@,Oregon,25,
37,2,Sep 6 1980,Sat,Texas A&M,23,@,Mississippi,20,
38,2,Sep 6 1980,Sat,Texas Tech,35,,Texas-El Paso,7,
39,2,Sep 6 1980,Sat,Virginia Tech,16,@,Wake Forest,7,
40,2,Sep 6 1980,Sat,West Virginia,41,,Cincinnati,27,
41,2,Sep 6 1980,Sat,Western Carolina,16,,Virginia Military Institute,14,
42,2,Sep 6 1980,Sat,Western Michigan,37,,Eastern Michigan,0,
43,2,Sep 6 1980,Sat,Wichita State,31,,Southern Illinois,14,
44,2,Sep 6 1980,Sat,Wofford,16,@,East Tennessee State,9,
45,3,Sep 13 1980,Sat,Appalachian State,17,,Citadel,14,
46,3,Sep 13 1980,Sat,Arizona State,29,,(9) Houston,13,
47,3,Sep 13 1980,Sat,Arkansas State,29,,Tennessee-Martin,9,
48,3,Sep 13 1980,Sat,Army,28,,Holy Cross,7,
49,3,Sep 13 1980,Sat,(18) Auburn,10,@,Texas Christian,7,
50,3,Sep 13 1980,Sat,Ball State,18,@,Northern Illinois,17,
51,3,Sep 13 1980,Sat,Baylor,42,@,Lamar,7,
52,3,Sep 13 1980,Sat,Brigham Young,35,,San Diego State,11,
53,3,Sep 13 1980,Sat,Cal State Fullerton,30,,Cal Poly,23,
54,3,Sep 13 1980,Sat,Central Michigan,15,@,Miami (OH),14,
55,3,Sep 13 1980,Sat,Chattanooga,32,@,Middle Tennessee State,7,
56,3,Sep 13 1980,Sat,Clemson,19,,Rice,3,
57,3,Sep 13 1980,Sat,Colgate,17,@,Lehigh,17,
58,3,Sep 13 1980,Sat,Drake,42,,Augustana (South Dakota),0,
59,3,Sep 13 1980,Sat,Eastern Michigan,18,@,Bowling Green,16,
60,3,Sep 13 1980,Sat,Florida,41,,California,13,
61,3,Sep 13 1980,Sat,(10) Florida State,52,,Louisville,0,
62,3,Sep 13 1980,Sat,Furman,28,,Presbyterian,7,
63,3,Sep 13 1980,Sat,(12) Georgia,42,,Texas A&M,0,
64,3,Sep 13 1980,Sat,Hawaii,41,,Abilene Christian,0,
65,3,Sep 13 1980,Sat,Illinois,20,,Michigan State,17,
66,3,Sep 13 1980,Sat,Iowa,16,@,Indiana,7,
