Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 27 1984,Mon,(10) Miami (FL),20,N,(1) Auburn,18,
2,2,Sep 1 1984,Sat,Air Force,34,,San Diego State,16,
3,2,Sep 1 1984,Sat,(19) Boston College,44,,Western Carolina,24,
4,2,Sep 1 1984,Sat,Brigham Young,20,@,(3) Pittsburgh,14,
5,2,Sep 1 1984,Sat,Cal State Fullerton,27,@,Boise State,25,
6,2,Sep 1 1984,Sat,Central Michigan,45,,Northern Michigan,22,
7,2,Sep 1 1984,Sat,Chattanooga,9,,Louisiana,7,
8,2,Sep 1 1984,Sat,(4) Clemson,40,,Appalachian State,7,
9,2,Sep 1 1984,Sat,(20) Florida State,48,,East Carolina,17,
10,2,Sep 1 1984,Sat,Fresno State,27,@,Arizona,22,
11,2,Sep 1 1984,Sat,Illinois,24,,Northwestern,16,
12,2,Sep 1 1984,Sat,Illinois State,54,,Lincoln,0,
13,2,Sep 1 1984,Sat,Indiana State,42,,Wayne State,6,
14,2,Sep 1 1984,Sat,Kent State,24,,Akron,17,
15,2,Sep 1 1984,Sat,Massachusetts,26,,Ball State,10,
16,2,Sep 1 1984,Sat,Memphis,17,,Arkansas State,2,
17,2,Sep 1 1984,Sat,(10) Miami (FL),32,N,(17) Florida,20,
18,2,Sep 1 1984,Sat,Mississippi State,30,@,Tulane,3,
19,2,Sep 1 1984,Sat,Missouri State,17,@,Drake,12,
20,2,Sep 1 1984,Sat,Murray State,26,@,Louisville,23,
21,2,Sep 1 1984,Sat,Northern Illinois,40,,West Texas State,33,
22,2,Sep 1 1984,Sat,San Jose State,14,,New Mexico State,0,
23,2,Sep 1 1984,Sat,Tennessee,34,,Washington State,27,
24,2,Sep 1 1984,Sat,Texas A&M,20,,Texas-El Paso,17,
25,2,Sep 1 1984,Sat,Texas State,38,@,Wichita State,31,
26,2,Sep 1 1984,Sat,Tulsa,23,,Southern Illinois,10,
27,2,Sep 1 1984,Sat,Utah,52,,Weber State,16,
28,2,Sep 1 1984,Sat,West Virginia,38,,Ohio,0,
29,2,Sep 1 1984,Sat,Wyoming,31,,South Dakota,13,
30,2,Sep 1 1984,Sat,Youngstown State,31,,Eastern Michigan,7,
31,3,Sep 8 1984,Sat,Air Force,75,,Northern Colorado,7,
32,3,Sep 8 1984,Sat,Arizona,23,,California,13,
33,3,Sep 8 1984,Sat,(18) Boston College,38,@,(9) Alabama,31,
34,3,Sep 8 1984,Sat,Bowling Green,55,,Richmond,28,
35,3,Sep 8 1984,Sat,(13) Brigham Young,47,,Baylor,13,
36,3,Sep 8 1984,Sat,Cal State Fullerton,21,@,Hawaii,13,
37,3,Sep 8 1984,Sat,Cincinnati,28,,Akron,27,
38,3,Sep 8 1984,Sat,(3) Clemson,55,@,Virginia,0,
39,3,Sep 8 1984,Sat,Duke,31,,Indiana,24,
40,3,Sep 8 1984,Sat,Fresno State,37,@,Boise State,21,
41,3,Sep 8 1984,Sat,Georgia,26,,Southern Mississippi,19,
42,3,Sep 8 1984,Sat,Illinois,30,,Missouri,24,
43,3,Sep 8 1984,Sat,Illinois State,35,,Southern Illinois,7,
44,3,Sep 8 1984,Sat,Indiana State,24,,Eastern Illinois,17,
45,3,Sep 8 1984,Sat,(10) Iowa,59,,Iowa State,21,
46,3,Sep 8 1984,Sat,Kansas,31,,Wichita State,7,
47,3,Sep 8 1984,Sat,Kentucky,42,,Kent State,0,
48,3,Sep 8 1984,Sat,Louisiana,17,@,Louisiana Tech,16,
49,3,Sep 8 1984,Sat,Louisiana State,21,@,Florida,21,
50,3,Sep 8 1984,Sat,(14) Michigan,22,,(1) Miami (FL),14,
51,3,Sep 8 1984,Sat,Michigan State,24,@,Colorado,21,
52,3,Sep 8 1984,Sat,Minnesota,31,,Rice,24,
53,3,Sep 8 1984,Sat,Mississippi,22,,Memphis,6,
54,3,Sep 8 1984,Sat,Mississippi State,14,,Colorado State,9,
55,3,Sep 8 1984,Sat,(2) Nebraska,42,,Wyoming,7,
56,3,Sep 8 1984,Sat,Nevada-Las Vegas,30,,San Jose State,15,
57,3,Sep 8 1984,Sat,New Mexico,61,,New Mexico State,21,
58,3,Sep 8 1984,Sat,North Carolina State,43,,Ohio,6,
59,3,Sep 8 1984,Sat,Northern Iowa,33,@,Drake,28,
60,3,Sep 8 1984,Sat,(6) Ohio State,22,,Oregon State,14,
61,3,Sep 8 1984,Sat,(16) Oklahoma,19,,Stanford,7,
62,3,Sep 8 1984,Sat,Oklahoma State,45,@,(12) Arizona State,3,
63,3,Sep 8 1984,Sat,Oregon,28,,Long Beach State,17,
64,3,Sep 8 1984,Sat,Pacific,12,,Nevada,7,
65,3,Sep 8 1984,Sat,(11) Penn State,15,,Rutgers,12,
66,3,Sep 8 1984,Sat,Purdue,23,N,(7) Notre Dame,21,
67,3,Sep 8 1984,Sat,South Carolina,31,,Citadel,24,
68,3,Sep 8 1984,Sat,Southern California,42,,Utah State,7,
69,3,Sep 8 1984,Sat,Syracuse,23,@,Maryland,7,
70,3,Sep 8 1984,Sat,Temple,17,,East Carolina,0,
71,3,Sep 8 1984,Sat,Texas-Arlington,27,,West Texas State,19,
72,3,Sep 8 1984,Sat,Texas-El Paso,16,,Idaho State,14,
73,3,Sep 8 1984,Sat,Toledo,20,@,Ball State,2,
74,3,Sep 8 1984,Sat,(4) UCLA,18,@,San Diego State,15,
75,3,Sep 8 1984,Sat,Vanderbilt,26,,Kansas State,14,
76,3,Sep 8 1984,Sat,Virginia Tech,21,@,Wake Forest,20,
77,3,Sep 8 1984,Sat,(19) Washington,26,,Northwestern,0,
78,3,Sep 8 1984,Sat,Washington State,42,,Utah,40,
79,3,Sep 8 1984,Sat,West Virginia,30,,Louisville,6,
80,3,Sep 8 1984,Sat,Western Michigan,17,,Miami (OH),13,
81,3,Sep 8 1984,Sat,Wisconsin,27,,Northern Illinois,14,
82,4,Sep 15 1984,Sat,Arizona,27,@,Oregon State,8,
83,4,Sep 15 1984,Sat,Arizona State,48,,San Jose State,0,
