Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 28 1993,Sat,(1) Florida State,42,N,Kansas,0,
2,1,Aug 29 1993,Sun,(20) North Carolina,31,@,(18) Southern California,9,
3,2,Sep 2 1993,Thu,Akron,23,@,Central Michigan,13,
4,2,Sep 2 1993,Thu,Auburn,16,,Mississippi,12,
5,2,Sep 2 1993,Thu,Iowa State,54,,Northern Illinois,10,
6,2,Sep 2 1993,Thu,Youngstown State,17,@,Western Michigan,13,
7,2,Sep 4 1993,Sat,Air Force,63,,Indiana State,21,
8,2,Sep 4 1993,Sat,(2) Alabama,31,,Tulane,17,
9,2,Sep 4 1993,Sat,(13) Arizona,24,,Texas-El Paso,6,
10,2,Sep 4 1993,Sat,Arizona State,38,,Utah,0,
11,2,Sep 4 1993,Sat,Arkansas,10,@,Southern Methodist,6,
12,2,Sep 4 1993,Sat,Baylor,42,,(25) Fresno State,39,
13,2,Sep 4 1993,Sat,(19) Brigham Young,34,@,New Mexico,31,
14,2,Sep 4 1993,Sat,California,27,@,UCLA,25,
15,2,Sep 4 1993,Sat,Cincinnati,42,,Austin Peay,10,
16,2,Sep 4 1993,Sat,(22) Clemson,24,,Nevada-Las Vegas,14,
17,2,Sep 4 1993,Sat,(11) Colorado,36,,Texas,14,
18,2,Sep 4 1993,Sat,(8) Florida,44,,Arkansas State,6,
19,2,Sep 4 1993,Sat,(1) Florida State,45,@,Duke,7,
20,2,Sep 4 1993,Sat,Hawaii,35,,Middle Tennessee State,14,
21,2,Sep 4 1993,Sat,Indiana,27,,Toledo,0,
22,2,Sep 4 1993,Sat,Iowa,26,,Tulsa,25,
23,2,Sep 4 1993,Sat,Kansas,46,,Western Carolina,3,
24,2,Sep 4 1993,Sat,Kansas State,34,,New Mexico State,10,
25,2,Sep 4 1993,Sat,Kentucky,35,,Kent State,0,
26,2,Sep 4 1993,Sat,Louisville,31,,San Jose State,24,
27,2,Sep 4 1993,Sat,Memphis,45,@,(23) Mississippi State,35,
28,2,Sep 4 1993,Sat,(3) Miami (FL),23,@,(20) Boston College,7,
29,2,Sep 4 1993,Sat,(3) Michigan,41,,Washington State,14,
30,2,Sep 4 1993,Sat,(9) Nebraska,76,,North Texas,14,
31,2,Sep 4 1993,Sat,(16) North Carolina,44,,Ohio,3,
32,2,Sep 4 1993,Sat,(24) North Carolina State,20,,Purdue,7,
33,2,Sep 4 1993,Sat,(7) Notre Dame,27,,Northwestern,12,
34,2,Sep 4 1993,Sat,(18) Ohio State,34,,Rice,7,
35,2,Sep 4 1993,Sat,(21) Oklahoma,35,@,Texas Christian,3,
36,2,Sep 4 1993,Sat,Oregon,23,@,Colorado State,9,
37,2,Sep 4 1993,Sat,Oregon State,27,@,Wyoming,16,
38,2,Sep 4 1993,Sat,(17) Penn State,38,,Minnesota,20,
39,2,Sep 4 1993,Sat,Pittsburgh,14,@,Southern Mississippi,10,
40,2,Sep 4 1993,Sat,Rutgers,68,,Colgate,6,
41,2,Sep 4 1993,Sat,San Diego State,34,,Cal State Northridge,17,
42,2,Sep 4 1993,Sat,South Carolina,23,@,(14) Georgia,21,
43,2,Sep 4 1993,Sat,Southern California,49,,Houston,7,
44,2,Sep 4 1993,Sat,(6) Syracuse,35,,Ball State,12,
45,2,Sep 4 1993,Sat,(10) Tennessee,50,,Louisiana Tech,0,
46,2,Sep 4 1993,Sat,(5) Texas A&M,24,,Louisiana State,0,
47,2,Sep 4 1993,Sat,Texas Tech,55,,Pacific,7,
48,2,Sep 4 1993,Sat,Utah State,34,@,Louisiana,13,
49,2,Sep 4 1993,Sat,Vanderbilt,27,@,Wake Forest,12,
50,2,Sep 4 1993,Sat,Virginia,43,@,Maryland,29,
51,2,Sep 4 1993,Sat,Virginia Tech,33,,Bowling Green,16,
52,2,Sep 4 1993,Sat,(12) Washington,31,,(15) Stanford,14,
53,2,Sep 4 1993,Sat,West Virginia,48,,Eastern Michigan,6,
54,2,Sep 4 1993,Sat,Wisconsin,35,,Nevada,17,
55,3,Sep 9 1993,Thu,(6) Syracuse,41,@,East Carolina,22,
56,3,Sep 9 1993,Thu,Temple,31,@,Eastern Michigan,28,
57,3,Sep 11 1993,Sat,Akron,42,,Kent State,7,
58,3,Sep 11 1993,Sat,(2) Alabama,17,@,Vanderbilt,6,
59,3,Sep 11 1993,Sat,(13) Arizona,16,,Pacific,13,
60,3,Sep 11 1993,Sat,Arkansas,18,,(19) South Carolina,17,
61,3,Sep 11 1993,Sat,Army,30,,Colgate,0,
62,3,Sep 11 1993,Sat,Auburn,35,,Samford,7,
63,3,Sep 11 1993,Sat,Ball State,45,,Illinois State,30,
64,3,Sep 11 1993,Sat,Bowling Green,21,,Cincinnati,7,
65,3,Sep 11 1993,Sat,(20) Brigham Young,41,,Hawaii,38,
66,3,Sep 11 1993,Sat,California,45,,San Diego State,25,
67,3,Sep 11 1993,Sat,Central Michigan,38,,Ohio,0,
68,3,Sep 11 1993,Sat,(10) Colorado,45,,(24) Baylor,21,
69,3,Sep 11 1993,Sat,Colorado State,8,,Air Force,5,
70,3,Sep 11 1993,Sat,(7) Florida,24,@,Kentucky,20,
71,3,Sep 11 1993,Sat,(1) Florida State,57,,(21) Clemson,0,
72,3,Sep 11 1993,Sat,Fresno State,48,,Oregon State,30,
73,3,Sep 11 1993,Sat,Georgia Tech,37,,Furman,3,
74,3,Sep 11 1993,Sat,Indiana,28,,Northern Illinois,10,
75,3,Sep 11 1993,Sat,Iowa,31,@,Iowa State,28,
76,3,Sep 11 1993,Sat,Kansas State,38,,Western Kentucky,13,
77,3,Sep 11 1993,Sat,Louisiana State,18,@,Mississippi State,16,
78,3,Sep 11 1993,Sat,Louisville,54,@,Memphis,28,
79,3,Sep 11 1993,Sat,Miami (OH),29,,Louisiana,28,
80,3,Sep 11 1993,Sat,Michigan State,31,,Kansas,14,
81,3,Sep 11 1993,Sat,Minnesota,27,,Indiana State,10,
82,3,Sep 11 1993,Sat,Mississippi,40,,Chattanooga,7,
83,3,Sep 11 1993,Sat,Missouri,31,,Illinois,3,
84,3,Sep 11 1993,Sat,(9) Nebraska,50,,Texas Tech,27,
85,3,Sep 11 1993,Sat,Nevada,38,,Boise State,10,
86,3,Sep 11 1993,Sat,New Mexico State,22,@,Arkansas State,19,
87,3,Sep 11 1993,Sat,(14) North Carolina,59,,Maryland,42,
88,3,Sep 11 1993,Sat,(18) North Carolina State,34,@,Wake Forest,16,
89,3,Sep 11 1993,Sat,(11) Notre Dame,27,@,(3) Michigan,23,
90,3,Sep 11 1993,Sat,(16) Ohio State,21,,(12) Washington,12,
91,3,Sep 11 1993,Sat,(17) Oklahoma,44,,(5) Texas A&M,14,
92,3,Sep 11 1993,Sat,Oklahoma State,45,,Missouri State,7,
93,3,Sep 11 1993,Sat,Oregon,35,,Montana,30,
94,3,Sep 11 1993,Sat,(15) Penn State,21,,Southern California,20,
95,3,Sep 11 1993,Sat,Purdue,28,,Western Michigan,13,
96,3,Sep 11 1993,Sat,Rice,34,,Tulane,0,
97,3,Sep 11 1993,Sat,Rutgers,39,,Duke,38,
98,3,Sep 11 1993,Sat,(23) Stanford,31,,San Jose State,28,
99,3,Sep 11 1993,Sat,(8) Tennessee,38,,(22) Georgia,6,
100,3,Sep 11 1993,Sat,Texas Christian,35,,New Mexico,34,
101,3,Sep 11 1993,Sat,Texas-El Paso,41,,Nevada-Las Vegas,24,
102,3,Sep 11 1993,Sat,Tulsa,38,@,Houston,24,
103,3,Sep 11 1993,Sat,Utah,31,,Utah State,29,
104,3,Sep 11 1993,Sat,Virginia,38,,Navy,0,
105,3,Sep 11 1993,Sat,Virginia Tech,63,@,Pittsburgh,21,
