Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 4 1975,Thu,North Texas,27,N,Texas-Arlington,14,
2,1,Sep 6 1975,Sat,Akron,20,,Marshall,8,
3,1,Sep 6 1975,Sat,Arkansas State,42,,Northwestern State,0,
4,1,Sep 6 1975,Sat,Ball State,24,,Eastern Michigan,14,
5,1,Sep 6 1975,Sat,Baylor,20,,Mississippi,10,
6,1,Sep 6 1975,Sat,Central Michigan,34,,Western Michigan,0,
7,1,Sep 6 1975,Sat,Fresno State,49,@,Cal State Fullerton,7,
8,1,Sep 6 1975,Sat,Houston,20,,Lamar,3,
9,1,Sep 6 1975,Sat,Louisiana,22,,Long Beach State,17,
10,1,Sep 6 1975,Sat,(17) Maryland,41,,Villanova,0,
11,1,Sep 6 1975,Sat,Mississippi State,17,@,Memphis,7,
12,1,Sep 6 1975,Sat,New Mexico State,14,,Drake,10,
13,1,Sep 6 1975,Sat,North Carolina,33,,William & Mary,7,
14,1,Sep 6 1975,Sat,(13) North Carolina State,26,,East Carolina,3,
15,1,Sep 6 1975,Sat,Pacific,3,@,Louisiana-Monroe,3,
16,1,Sep 6 1975,Sat,(6) Penn State,26,@,Temple,25,
17,1,Sep 6 1975,Sat,Pittsburgh,19,@,Georgia,9,
18,1,Sep 6 1975,Sat,San Diego State,31,,Texas-El Paso,10,
19,1,Sep 6 1975,Sat,Southern Methodist,14,@,Wake Forest,7,
20,1,Sep 6 1975,Sat,Toledo,32,,Western Carolina,31,
21,1,Sep 6 1975,Sat,Western Kentucky,27,@,Dayton,7,
22,1,Sep 6 1975,Sat,Wichita State,13,,West Texas State,7,
23,1,Sep 8 1975,Mon,Missouri,20,@,(2) Alabama,7,
24,2,Sep 12 1975,Fri,(4) Southern California,35,,Duke,7,
25,2,Sep 13 1975,Sat,Akron,27,@,Western Michigan,21,
26,2,Sep 13 1975,Sat,Appalachian State,41,,East Carolina,25,
27,2,Sep 13 1975,Sat,Arizona State,35,,Washington,12,
28,2,Sep 13 1975,Sat,Arkansas,35,,Air Force,0,
29,2,Sep 13 1975,Sat,Arkansas State,23,,Idaho,6,
30,2,Sep 13 1975,Sat,Army,44,,Holy Cross,7,
31,2,Sep 13 1975,Sat,Ball State,38,,Toledo,28,
32,2,Sep 13 1975,Sat,Bowling Green,23,@,Brigham Young,21,
33,2,Sep 13 1975,Sat,Cincinnati,19,,Richmond,6,
34,2,Sep 13 1975,Sat,Citadel,21,,Presbyterian,0,
35,2,Sep 13 1975,Sat,Colorado,34,,California,27,
36,2,Sep 13 1975,Sat,Delaware,10,@,Virginia Military Institute,9,
37,2,Sep 13 1975,Sat,Eastern Kentucky,30,,Dayton,24,
38,2,Sep 13 1975,Sat,Eastern Michigan,30,,Indiana State,7,
39,2,Sep 13 1975,Sat,(19) Florida,40,,Southern Methodist,14,
40,2,Sep 13 1975,Sat,Idaho State,16,@,Wyoming,3,
41,2,Sep 13 1975,Sat,Illinois,27,@,Iowa,12,
42,2,Sep 13 1975,Sat,Indiana,20,,Minnesota,14,
43,2,Sep 13 1975,Sat,Kansas State,17,@,Tulsa,16,
44,2,Sep 13 1975,Sat,Kent State,31,@,Louisiana-Monroe,29,
45,2,Sep 13 1975,Sat,Kentucky,27,,Virginia Tech,8,
46,2,Sep 13 1975,Sat,Long Beach State,24,@,Northern Illinois,7,
47,2,Sep 13 1975,Sat,Louisiana,27,,Southern Illinois,10,
48,2,Sep 13 1975,Sat,Louisiana Tech,21,@,McNeese State,14,
49,2,Sep 13 1975,Sat,Memphis,31,@,(7) Auburn,20,
50,2,Sep 13 1975,Sat,Miami (OH),50,,Marshall,0,
51,2,Sep 13 1975,Sat,(2) Michigan,23,@,Wisconsin,6,
52,2,Sep 13 1975,Sat,Navy,42,@,Virginia,14,
53,2,Sep 13 1975,Sat,(6) Nebraska,10,,Louisiana State,7,
54,2,Sep 13 1975,Sat,New Mexico,29,,Fresno State,0,
55,2,Sep 13 1975,Sat,New Mexico State,31,@,Texas-El Paso,24,
56,2,Sep 13 1975,Sat,North Texas,7,@,Drake,3,
57,2,Sep 13 1975,Sat,Northwestern,31,,Purdue,25,
58,2,Sep 13 1975,Sat,Ohio,6,@,Central Michigan,6,
59,2,Sep 13 1975,Sat,(3) Ohio State,21,@,(11) Michigan State,0,
60,2,Sep 13 1975,Sat,(1) Oklahoma,62,,Oregon,7,
61,2,Sep 13 1975,Sat,Oklahoma State,34,,Wichita State,0,
62,2,Sep 13 1975,Sat,Pacific,31,,California-Davis,13,
