Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
88,3,Sep 10 1988,Sat,(5) UCLA,41,,(2) Nebraska,28,
89,3,Sep 10 1988,Sat,Utah,41,,Idaho State,16,
90,3,Sep 10 1988,Sat,Vanderbilt,24,,Mississippi State,20,
91,3,Sep 10 1988,Sat,Virginia Tech,27,,East Carolina,16,
92,3,Sep 10 1988,Sat,Wake Forest,35,,Illinois State,0,
93,3,Sep 10 1988,Sat,(20) Washington,20,@,Purdue,6,
94,3,Sep 10 1988,Sat,Washington State,41,@,Minnesota,9,
95,3,Sep 10 1988,Sat,(12) West Virginia,45,,Cal State Fullerton,10,
96,3,Sep 10 1988,Sat,Western Michigan,31,@,Toledo,9,
97,3,Sep 11 1988,Sun,San Diego State,39,,Air Force,36,
98,4,Sep 17 1988,Sat,Air Force,62,,Northwestern,27,
99,4,Sep 17 1988,Sat,Arizona State,28,,Colorado State,17,
100,4,Sep 17 1988,Sat,Arkansas,21,,Mississippi,13,
101,4,Sep 17 1988,Sat,(6) Auburn,56,,Kansas,7,
102,4,Sep 17 1988,Sat,Ball State,44,,Massachusetts,17,
103,4,Sep 17 1988,Sat,Baylor,35,@,Iowa State,0,
104,4,Sep 17 1988,Sat,Brigham Young,31,,Texas-El Paso,27,
105,4,Sep 17 1988,Sat,Cal State Fullerton,20,@,Nevada-Las Vegas,10,
106,4,Sep 17 1988,Sat,Central Michigan,27,@,Akron,16,
107,4,Sep 17 1988,Sat,Cincinnati,52,,Austin Peay,7,
108,4,Sep 17 1988,Sat,Colorado,24,@,(19) Iowa,21,
109,4,Sep 17 1988,Sat,Duke,41,,Citadel,17,
110,4,Sep 17 1988,Sat,Eastern Michigan,21,,Kent State,14,
111,4,Sep 17 1988,Sat,Florida,58,,Indiana State,0,
112,4,Sep 17 1988,Sat,(10) Florida State,24,@,(3) Clemson,21,
113,4,Sep 17 1988,Sat,Fresno State,41,,New Mexico State,0,
114,4,Sep 17 1988,Sat,(7) Georgia,42,@,Mississippi State,35,
115,4,Sep 17 1988,Sat,Hawaii,36,,San Jose State,27,
116,4,Sep 17 1988,Sat,Houston,31,@,Missouri,7,
117,4,Sep 17 1988,Sat,Idaho,36,@,Pacific,26,
118,4,Sep 17 1988,Sat,Illinois,35,,Utah,24,
