Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 4 1976,Sat,Arkansas State,31,,Louisiana-Monroe,13,
2,1,Sep 4 1976,Sat,Eastern Kentucky,21,@,Dayton,7,
3,1,Sep 4 1976,Sat,Furman,18,@,North Carolina State,12,
4,1,Sep 4 1976,Sat,(19) Kansas,28,@,Oregon State,16,
5,1,Sep 4 1976,Sat,Memphis,21,,Mississippi,16,
6,1,Sep 4 1976,Sat,Mississippi State,7,,North Texas,0,
7,1,Sep 4 1976,Sat,Morehead State,31,,Marshall,14,
8,1,Sep 4 1976,Sat,New Mexico State,30,@,Drake,29,
9,1,Sep 4 1976,Sat,North Carolina,14,,(20) Miami (OH),10,
10,1,Sep 4 1976,Sat,Ohio,23,@,Eastern Michigan,7,
11,1,Sep 4 1976,Sat,San Jose State,45,,Utah State,10,
12,1,Sep 4 1976,Sat,South Carolina,21,,Appalachian State,10,
13,1,Sep 4 1976,Sat,Texas-El Paso,38,,Texas-Arlington,15,
14,1,Sep 4 1976,Sat,Tulsa,22,,Richmond,7,
15,1,Sep 4 1976,Sat,Virginia Tech,23,@,Wake Forest,6,
16,2,Sep 9 1976,Thu,(17) UCLA,28,@,(3) Arizona State,10,
17,2,Sep 11 1976,Sat,Air Force,36,,Pacific,3,
18,2,Sep 11 1976,Sat,Appalachian State,44,,East Tennessee State,3,
19,2,Sep 11 1976,Sat,Arizona,31,,Auburn,19,
20,2,Sep 11 1976,Sat,(13) Arkansas,33,,Utah State,16,
21,2,Sep 11 1976,Sat,Army,16,,Lafayette,6,
22,2,Sep 11 1976,Sat,Ball State,41,,Louisiana Tech,28,
23,2,Sep 11 1976,Sat,Boston College,14,,(7) Texas,13,
24,2,Sep 11 1976,Sat,Bowling Green,22,@,Syracuse,7,
25,2,Sep 11 1976,Sat,Cal State Fullerton,10,@,Cal Poly-Pomona,10,
26,2,Sep 11 1976,Sat,Chattanooga,24,@,Illinois State,0,
27,2,Sep 11 1976,Sat,Cincinnati,21,@,Tulane,14,
28,2,Sep 11 1976,Sat,Clemson,10,,Citadel,7,
29,2,Sep 11 1976,Sat,Colgate,13,,Connecticut,7,
30,2,Sep 11 1976,Sat,Dayton,41,@,Youngstown State,16,
31,2,Sep 11 1976,Sat,Duke,21,@,Tennessee,18,
32,2,Sep 11 1976,Sat,East Carolina,48,,Southern Mississippi,0,
33,2,Sep 11 1976,Sat,Furman,17,@,Tennessee Tech,7,
34,2,Sep 11 1976,Sat,(16) Georgia,36,,(15) California,24,
35,2,Sep 11 1976,Sat,Houston,23,@,Baylor,5,
36,2,Sep 11 1976,Sat,Illinois,24,,Iowa,6,
37,2,Sep 11 1976,Sat,Iowa State,58,,Drake,14,
38,2,Sep 11 1976,Sat,(19) Kansas,35,,Washington State,16,
39,2,Sep 11 1976,Sat,Kansas State,13,,Brigham Young,3,
40,2,Sep 11 1976,Sat,Kent State,20,@,Central Michigan,10,
41,2,Sep 11 1976,Sat,Kentucky,38,,Oregon State,13,
42,2,Sep 11 1976,Sat,Lamar,17,,Northwestern State,6,
43,2,Sep 11 1976,Sat,Long Beach State,19,,Weber State,7,
44,2,Sep 11 1976,Sat,Louisiana,41,,Fresno State,14,
45,2,Sep 11 1976,Sat,Marshall,21,,(20) Miami (OH),16,
46,2,Sep 11 1976,Sat,(12) Maryland,31,,Richmond,7,
