Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 29 1970,Sat,Fresno State,28,,Hayward State,12,
2,2,Sep 5 1970,Sat,Fresno State,25,@,California-Santa Barbara,10,
3,3,Sep 11 1970,Fri,(11) Missouri,38,,Baylor,0,
4,3,Sep 12 1970,Sat,Air Force,45,,Idaho,7,
5,3,Sep 12 1970,Sat,Army,26,,Holy Cross,0,
6,3,Sep 12 1970,Sat,Ball State,14,@,Buffalo,7,
7,3,Sep 12 1970,Sat,Brigham Young,10,,North Texas,7,
8,3,Sep 12 1970,Sat,Clemson,24,,Citadel,0,
9,3,Sep 12 1970,Sat,Colorado State,28,@,New Mexico State,9,
10,3,Sep 12 1970,Sat,Dayton,45,,Xavier,22,
11,3,Sep 12 1970,Sat,(15) Florida,21,,Duke,19,
12,3,Sep 12 1970,Sat,Florida State,9,,Louisville,7,
13,3,Sep 12 1970,Sat,Georgia Tech,23,,(17) South Carolina,20,
14,3,Sep 12 1970,Sat,Kansas,48,,Washington State,31,
15,3,Sep 12 1970,Sat,(14) Kansas State,37,@,Utah State,0,
16,3,Sep 12 1970,Sat,Long Beach State,19,@,Montana State,3,
17,3,Sep 12 1970,Sat,Mississippi State,14,,Oklahoma State,13,
18,3,Sep 12 1970,Sat,Navy,48,,Colgate,22,
19,3,Sep 12 1970,Sat,(9) Nebraska,36,,Wake Forest,12,
20,3,Sep 12 1970,Sat,North Carolina,20,,Kentucky,10,
21,3,Sep 12 1970,Sat,(20) Oklahoma,28,@,Southern Methodist,11,
22,3,Sep 12 1970,Sat,Oregon,31,,California,24,
23,3,Sep 12 1970,Sat,Pacific,24,@,Texas-El Paso,18,
24,3,Sep 12 1970,Sat,Richmond,21,,North Carolina State,6,
25,3,Sep 12 1970,Sat,San Diego State,35,@,Northern Illinois,3,
26,3,Sep 12 1970,Sat,San Jose State,28,,California-Santa Barbara,14,
27,3,Sep 12 1970,Sat,(3) Southern California,42,@,(16) Alabama,21,
28,3,Sep 12 1970,Sat,Southern Mississippi,16,@,Louisiana,14,
29,3,Sep 12 1970,Sat,(10) Stanford,34,@,(4) Arkansas,28,
30,3,Sep 12 1970,Sat,Texas A&M,41,,Wichita State,14,
31,3,Sep 12 1970,Sat,Texas Christian,31,,Texas-Arlington,7,
32,3,Sep 12 1970,Sat,Texas Tech,21,,Tulane,14,
33,3,Sep 12 1970,Sat,Toledo,35,,East Carolina,2,
34,3,Sep 12 1970,Sat,Tulsa,7,,Cincinnati,3,
35,3,Sep 12 1970,Sat,(18) UCLA,14,@,Oregon State,9,
36,3,Sep 12 1970,Sat,Vanderbilt,39,,Chattanooga,6,
37,3,Sep 12 1970,Sat,Villanova,21,@,Maryland,3,
38,3,Sep 12 1970,Sat,Virginia,7,@,Virginia Tech,0,
39,3,Sep 12 1970,Sat,Virginia Military Institute,13,,Furman,0,
40,3,Sep 12 1970,Sat,(20) West Virginia,43,,William & Mary,7,
41,3,Sep 12 1970,Sat,Western Michigan,41,@,Central Michigan,0,
42,4,Sep 18 1970,Fri,Miami (FL),36,,William & Mary,14,
43,4,Sep 19 1970,Sat,Air Force,41,@,Wyoming,17,
44,4,Sep 19 1970,Sat,Alabama,51,,Virginia Tech,18,
45,4,Sep 19 1970,Sat,(20) Arizona State,38,,Colorado State,9,
46,4,Sep 19 1970,Sat,(11) Arkansas,23,,Oklahoma State,7,
47,4,Sep 19 1970,Sat,Arkansas State,53,@,Wichita State,14,
48,4,Sep 19 1970,Sat,Auburn,33,,Southern Mississippi,14,
49,4,Sep 19 1970,Sat,Baylor,10,@,Army,7,
50,4,Sep 19 1970,Sat,Boston College,28,@,Villanova,21,
51,4,Sep 19 1970,Sat,Cal State Northridge,13,@,California-Santa Barbara,7,
52,4,Sep 19 1970,Sat,Cincinnati,13,,Dayton,7,
53,4,Sep 19 1970,Sat,Clemson,27,,Virginia,17,
54,4,Sep 19 1970,Sat,Colgate,26,@,Boston University,21,
55,4,Sep 19 1970,Sat,Colorado,16,@,Indiana,9,
56,4,Sep 19 1970,Sat,Duke,13,,Maryland,12,
57,4,Sep 19 1970,Sat,East Tennessee State,10,@,East Carolina,0,
58,4,Sep 19 1970,Sat,(14) Florida,34,,Mississippi State,13,
59,4,Sep 19 1970,Sat,Furman,19,,Presbyterian,7,
60,4,Sep 19 1970,Sat,Georgia Tech,23,,Florida State,13,
61,4,Sep 19 1970,Sat,(15) Houston,42,,Syracuse,15,
62,4,Sep 19 1970,Sat,Illinois,20,,Oregon,16,
63,4,Sep 19 1970,Sat,Iowa State,32,@,New Mexico,3,
64,4,Sep 19 1970,Sat,Kentucky,16,,(13) Kansas State,3,
