Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 8 1972,Fri,San Diego State,17,,Oregon State,8,
2,1,Sep 9 1972,Sat,(7) Alabama,35,,Duke,12,
3,1,Sep 9 1972,Sat,Appalachian State,7,@,Western Kentucky,6,
4,1,Sep 9 1972,Sat,Arizona,17,,Colorado State,0,
5,1,Sep 9 1972,Sat,Auburn,14,@,Mississippi State,3,
6,1,Sep 9 1972,Sat,Cincinnati,10,@,Indiana State,7,
7,1,Sep 9 1972,Sat,Clemson,13,,Citadel,0,
8,1,Sep 9 1972,Sat,(2) Colorado,20,,California,10,
9,1,Sep 9 1972,Sat,Dayton,18,,Youngstown State,13,
10,1,Sep 9 1972,Sat,East Carolina,30,@,Virginia Military Institute,3,
11,1,Sep 9 1972,Sat,(19) Florida State,19,@,Pittsburgh,7,
12,1,Sep 9 1972,Sat,Fresno State,24,,Sacramento State,7,
13,1,Sep 9 1972,Sat,Kansas State,21,,Tulsa,13,
14,1,Sep 9 1972,Sat,Kent State,13,@,Akron,13,
15,1,Sep 9 1972,Sat,Maryland,24,@,North Carolina State,24,
16,1,Sep 9 1972,Sat,Missouri,24,,Oregon,22,
17,1,Sep 9 1972,Sat,North Carolina,28,,Richmond,18,
18,1,Sep 9 1972,Sat,Northern Illinois,21,,Illinois State,7,
19,1,Sep 9 1972,Sat,Ohio,26,,Central Michigan,21,
20,1,Sep 9 1972,Sat,Rice,14,,Houston,13,
21,1,Sep 9 1972,Sat,San Jose State,33,,Santa Clara,28,
22,1,Sep 9 1972,Sat,(8) Southern California,31,@,(4) Arkansas,10,
23,1,Sep 9 1972,Sat,Southern Mississippi,38,,Texas-Arlington,17,
24,1,Sep 9 1972,Sat,Syracuse,17,,Temple,10,
25,1,Sep 9 1972,Sat,Tampa,21,,Toledo,0,
26,1,Sep 9 1972,Sat,(15) Tennessee,34,@,Georgia Tech,3,
27,1,Sep 9 1972,Sat,Texas A&M,36,@,Wichita State,13,
28,1,Sep 9 1972,Sat,UCLA,20,,(1) Nebraska,17,
29,1,Sep 9 1972,Sat,Utah State,48,@,New Mexico State,14,
30,1,Sep 9 1972,Sat,Vanderbilt,24,,Chattanooga,7,
31,1,Sep 9 1972,Sat,Virginia,24,@,South Carolina,16,
32,1,Sep 9 1972,Sat,Wake Forest,26,,Davidson,20,
33,1,Sep 9 1972,Sat,(9) Washington,13,,Pacific,6,
34,1,Sep 9 1972,Sat,Washington State,18,@,Kansas,17,
35,1,Sep 9 1972,Sat,West Virginia,25,,Villanova,6,
36,1,Sep 9 1972,Sat,Western Michigan,28,,Long Beach State,20,
37,1,Sep 9 1972,Sat,William & Mary,31,,Furman,7,
38,1,Sep 9 1972,Sat,Wyoming,30,,Idaho State,14,
39,1,Sep 9 1972,Sat,Xavier,26,@,Morehead State,7,
40,2,Sep 16 1972,Sat,Air Force,45,,Wyoming,14,
41,2,Sep 16 1972,Sat,(13) Arizona State,33,@,Houston,28,
42,2,Sep 16 1972,Sat,Bowling Green,17,@,(18) Purdue,14,
43,2,Sep 16 1972,Sat,Brigham Young,32,,Kansas State,9,
44,2,Sep 16 1972,Sat,California,37,,Washington State,23,
45,2,Sep 16 1972,Sat,Citadel,28,@,Appalachian State,21,
46,2,Sep 16 1972,Sat,(2) Colorado,56,,Cincinnati,14,
47,2,Sep 16 1972,Sat,Davidson,18,@,Virginia Military Institute,14,
48,2,Sep 16 1972,Sat,Drake,40,,West Texas State,12,
49,2,Sep 16 1972,Sat,East Carolina,16,,Southern Illinois,0,
50,2,Sep 16 1972,Sat,(20) Florida State,37,@,Miami (FL),14,
51,2,Sep 16 1972,Sat,Fresno State,41,,Western Michigan,14,
52,2,Sep 16 1972,Sat,(16) Georgia,24,,Baylor,14,
53,2,Sep 16 1972,Sat,Georgia Tech,34,,South Carolina,6,
54,2,Sep 16 1972,Sat,Holy Cross,24,,Rutgers,14,
55,2,Sep 16 1972,Sat,Idaho,17,,Ohio,14,
56,2,Sep 16 1972,Sat,Indiana,27,,Minnesota,23,
57,2,Sep 16 1972,Sat,Iowa State,41,@,Colorado State,0,
58,2,Sep 16 1972,Sat,Kentucky,25,,Villanova,7,
59,2,Sep 16 1972,Sat,Lamar,42,@,Texas-El Paso,18,
60,2,Sep 16 1972,Sat,Long Beach State,24,,North Texas,21,
61,2,Sep 16 1972,Sat,(9) Louisiana State,31,,Pacific,13,
62,2,Sep 16 1972,Sat,Louisiana Tech,33,@,Southern Mississippi,14,
63,2,Sep 16 1972,Sat,Louisville,34,,Kent State,0,
64,2,Sep 16 1972,Sat,Marshall,27,,Morehead State,24,
65,2,Sep 16 1972,Sat,Miami (OH),34,,Dayton,7,
66,2,Sep 16 1972,Sat,(11) Michigan,7,,Northwestern,0,
67,2,Sep 16 1972,Sat,Michigan State,24,@,Illinois,0,
68,2,Sep 16 1972,Sat,(19) Mississippi,34,@,Memphis,29,
69,2,Sep 16 1972,Sat,Mississippi State,42,,Louisiana-Monroe,7,
70,2,Sep 16 1972,Sat,Navy,13,,William & Mary,9,
71,2,Sep 16 1972,Sat,(10) Nebraska,37,,Texas A&M,7,
72,2,Sep 16 1972,Sat,New Mexico,55,,New Mexico State,20,
73,2,Sep 16 1972,Sat,North Carolina,31,@,Maryland,26,
74,2,Sep 16 1972,Sat,North Carolina State,43,,Syracuse,20,
75,2,Sep 16 1972,Sat,(3) Ohio State,21,,Iowa,0,
76,2,Sep 16 1972,Sat,(4) Oklahoma,49,,Utah State,0,
77,2,Sep 16 1972,Sat,Oklahoma State,21,,Texas-Arlington,3,
78,2,Sep 16 1972,Sat,Oregon,34,,Arizona,7,
79,2,Sep 16 1972,Sat,Presbyterian,10,@,Furman,7,
80,2,Sep 16 1972,Sat,(1) Southern California,51,,Oregon State,6,
81,2,Sep 16 1972,Sat,Southern Methodist,56,,Wake Forest,10,
82,2,Sep 16 1972,Sat,Stanford,44,,San Jose State,0,
83,2,Sep 16 1972,Sat,Tampa,34,@,Northern Michigan,21,
84,2,Sep 16 1972,Sat,Temple,16,@,Xavier,12,
85,2,Sep 16 1972,Sat,(7) Tennessee,28,,(6) Penn State,21,
86,2,Sep 16 1972,Sat,Texas Tech,45,,Utah,2,
87,2,Sep 16 1972,Sat,Toledo,16,@,Eastern Michigan,0,
88,2,Sep 16 1972,Sat,Tulane,10,@,Boston College,0,
89,2,Sep 16 1972,Sat,Tulsa,10,,Wichita State,9,
90,2,Sep 16 1972,Sat,(8) UCLA,38,@,Pittsburgh,28,
91,2,Sep 16 1972,Sat,Virginia,24,,Virginia Tech,20,
92,2,Sep 16 1972,Sat,(12) Washington,14,,Duke,6,
93,2,Sep 16 1972,Sat,West Virginia,28,,Richmond,7,
94,2,Sep 16 1972,Sat,Wisconsin,31,,Northern Illinois,7,
95,3,Sep 22 1972,Fri,Long Beach State,25,@,Grambling State,19,
96,3,Sep 22 1972,Fri,Tampa,42,,Eastern Michigan,0,
97,3,Sep 23 1972,Sat,Air Force,41,,Pittsburgh,13,
98,3,Sep 23 1972,Sat,(7) Alabama,35,,Kentucky,0,
99,3,Sep 23 1972,Sat,(10) Arizona State,56,,Kansas State,14,
100,3,Sep 23 1972,Sat,Arkansas,24,,Oklahoma State,23,
101,3,Sep 23 1972,Sat,Auburn,14,,Chattanooga,7,
102,3,Sep 23 1972,Sat,Baylor,27,@,Missouri,0,
103,3,Sep 23 1972,Sat,Boston College,49,,Temple,27,
104,3,Sep 23 1972,Sat,Bowling Green,16,@,Miami (OH),7,
105,3,Sep 23 1972,Sat,Colgate,33,,Lafayette,14,
106,3,Sep 23 1972,Sat,(3) Colorado,38,@,Minnesota,6,
107,3,Sep 23 1972,Sat,Dayton,39,,Marshall,0,
108,3,Sep 23 1972,Sat,Drake,23,@,Memphis,7,
109,3,Sep 23 1972,Sat,East Carolina,35,,Appalachian State,7,
110,3,Sep 23 1972,Sat,(17) Florida State,27,,Virginia Tech,15,
111,3,Sep 23 1972,Sat,Fresno State,49,@,New Mexico State,17,
112,3,Sep 23 1972,Sat,Furman,24,,Wofford,7,
113,3,Sep 23 1972,Sat,Georgia Tech,21,@,(18) Michigan State,16,
114,3,Sep 23 1972,Sat,Holy Cross,30,@,Brown,24,
115,3,Sep 23 1972,Sat,Houston,21,@,Tulsa,0,
116,3,Sep 23 1972,Sat,Iowa,19,,Oregon State,11,
117,3,Sep 23 1972,Sat,Iowa State,44,,Utah,22,
118,3,Sep 23 1972,Sat,Kansas,52,,Wyoming,14,
119,3,Sep 23 1972,Sat,Kent State,37,,Ohio,14,
120,3,Sep 23 1972,Sat,Lamar,7,,Southern Illinois,0,
121,3,Sep 23 1972,Sat,Lenoir-Rhyne,41,,Davidson,16,
122,3,Sep 23 1972,Sat,(8) Louisiana State,42,,Texas A&M,17,
123,3,Sep 23 1972,Sat,Maryland,28,,Virginia Military Institute,16,
124,3,Sep 23 1972,Sat,(12) Michigan,26,@,(6) UCLA,9,
125,3,Sep 23 1972,Sat,(20) Mississippi,21,@,South Carolina,0,
126,3,Sep 23 1972,Sat,Mississippi State,10,@,Vanderbilt,6,
127,3,Sep 23 1972,Sat,(9) Nebraska,77,@,Army,7,
128,3,Sep 23 1972,Sat,North Carolina,34,,North Carolina State,33,
129,3,Sep 23 1972,Sat,(13) Notre Dame,37,@,Northwestern,0,
130,3,Sep 23 1972,Sat,(2) Oklahoma,68,,Oregon,3,
131,3,Sep 23 1972,Sat,Pacific,19,@,Texas-El Paso,14,
132,3,Sep 23 1972,Sat,(11) Penn State,21,,Navy,10,
133,3,Sep 23 1972,Sat,Rice,29,,Clemson,10,
134,3,Sep 23 1972,Sat,Richmond,17,,Louisiana-Monroe,0,
135,3,Sep 23 1972,Sat,Rutgers,41,,Lehigh,13,
136,3,Sep 23 1972,Sat,San Diego State,25,@,North Texas,0,
137,3,Sep 23 1972,Sat,San Jose State,17,@,California,10,
138,3,Sep 23 1972,Sat,(1) Southern California,55,@,Illinois,20,
139,3,Sep 23 1972,Sat,Southern Methodist,21,@,Florida,14,
140,3,Sep 23 1972,Sat,(19) Stanford,10,@,Duke,6,
141,3,Sep 23 1972,Sat,(5) Tennessee,45,,Wake Forest,6,
142,3,Sep 23 1972,Sat,(14) Texas,23,,Miami (FL),10,
143,3,Sep 23 1972,Sat,Texas Christian,31,@,Indiana,28,
144,3,Sep 23 1972,Sat,Texas Tech,41,@,New Mexico,16,
145,3,Sep 23 1972,Sat,Toledo,38,,Texas-Arlington,24,
146,3,Sep 23 1972,Sat,Tulane,24,,(16) Georgia,13,
147,3,Sep 23 1972,Sat,Utah State,42,@,Brigham Young,19,
148,3,Sep 23 1972,Sat,Villanova,20,,William & Mary,17,
149,3,Sep 23 1972,Sat,(15) Washington,22,@,Purdue,21,
150,3,Sep 23 1972,Sat,Washington State,28,@,Arizona,6,
151,3,Sep 23 1972,Sat,Weber State,26,,Idaho,10,
152,3,Sep 23 1972,Sat,West Texas State,41,,Colorado State,14,
153,3,Sep 23 1972,Sat,West Virginia,48,@,Virginia,10,
154,3,Sep 23 1972,Sat,Western Carolina,10,@,Citadel,0,
155,3,Sep 23 1972,Sat,Western Michigan,14,@,Northern Illinois,10,
156,3,Sep 23 1972,Sat,Wichita State,6,@,Arkansas State,0,
157,3,Sep 23 1972,Sat,Wisconsin,31,,Syracuse,7,
158,3,Sep 23 1972,Sat,Xavier,19,@,Cincinnati,7,
159,4,Sep 29 1972,Fri,Pennsylvania,55,,Lafayette,12,
160,4,Sep 29 1972,Fri,(15) UCLA,65,,Oregon,20,
161,4,Sep 30 1972,Sat,Air Force,68,,Davidson,6,
162,4,Sep 30 1972,Sat,(6) Alabama,48,,Vanderbilt,21,
163,4,Sep 30 1972,Sat,Arkansas,21,,Tulsa,20,
164,4,Sep 30 1972,Sat,Army,24,@,Texas A&M,14,
165,4,Sep 30 1972,Sat,Auburn,10,,(4) Tennessee,6,
166,4,Sep 30 1972,Sat,Bowling Green,13,@,Western Michigan,13,
167,4,Sep 30 1972,Sat,Cincinnati,14,,Villanova,7,
168,4,Sep 30 1972,Sat,Columbia,44,@,Fordham,0,
169,4,Sep 30 1972,Sat,Cornell,37,,Colgate,7,
170,4,Sep 30 1972,Sat,Dartmouth,24,,New Hampshire,14,
171,4,Sep 30 1972,Sat,Drake,54,,North Texas,8,
172,4,Sep 30 1972,Sat,Duke,37,,Virginia,13,
173,4,Sep 30 1972,Sat,Florida,28,,Mississippi State,13,
174,4,Sep 30 1972,Sat,(16) Florida State,44,@,Kansas,22,
175,4,Sep 30 1972,Sat,Fresno State,23,@,San Jose State,21,
176,4,Sep 30 1972,Sat,Furman,20,@,Appalachian State,17,
177,4,Sep 30 1972,Sat,Georgia,28,,North Carolina State,22,
178,4,Sep 30 1972,Sat,Indiana,35,@,Kentucky,34,
179,4,Sep 30 1972,Sat,Iowa State,31,,New Mexico,0,
180,4,Sep 30 1972,Sat,Kansas State,31,,Tampa,7,
181,4,Sep 30 1972,Sat,Long Beach State,27,,Cal State Fullerton,14,
182,4,Sep 30 1972,Sat,(9) Louisiana State,27,,Wisconsin,7,
183,4,Sep 30 1972,Sat,Louisville,28,@,Dayton,11,
