Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 9 1967,Sat,Furman,42,,Mars Hill,0,
2,1,Sep 9 1967,Sat,West Virginia,40,,Villanova,0,
3,1,Sep 9 1967,Sat,William & Mary,38,,Quantico Marines,7,
4,2,Sep 15 1967,Fri,Houston,33,,Florida State,13,
5,2,Sep 15 1967,Fri,(7) Southern California,49,,Washington State,0,
6,2,Sep 16 1967,Sat,Air Force,0,@,Oklahoma State,0,
7,2,Sep 16 1967,Sat,Arizona State,27,,San Jose State,16,
8,2,Sep 16 1967,Sat,Buffalo,30,,Kent State,6,
9,2,Sep 16 1967,Sat,California,21,,Oregon,13,
10,2,Sep 16 1967,Sat,(10) Colorado,27,,Baylor,7,
11,2,Sep 16 1967,Sat,Dayton,16,,Eastern Kentucky,0,
12,2,Sep 16 1967,Sat,Duke,31,N,Wake Forest,13,
13,2,Sep 16 1967,Sat,East Carolina,27,@,William & Mary,7,
14,2,Sep 16 1967,Sat,Furman,15,,Mississippi College,6,
15,2,Sep 16 1967,Sat,Louisville,46,@,Drake,7,
16,2,Sep 16 1967,Sat,Morehead State,30,,Marshall,6,
17,2,Sep 16 1967,Sat,Nebraska,17,@,Washington,7,
18,2,Sep 16 1967,Sat,New Mexico,24,,Idaho State,3,
19,2,Sep 16 1967,Sat,New Mexico State,17,,Lamar,6,
20,2,Sep 16 1967,Sat,North Carolina State,13,,North Carolina,7,
21,2,Sep 16 1967,Sat,Ohio,20,@,Toledo,14,
22,2,Sep 16 1967,Sat,Oregon State,13,,Stanford,7,
23,2,Sep 16 1967,Sat,Pacific,42,,Idaho,6,
24,2,Sep 16 1967,Sat,South Carolina,34,,Iowa State,3,
25,2,Sep 16 1967,Sat,Southern Methodist,20,@,Texas A&M,17,
26,2,Sep 16 1967,Sat,Southern Mississippi,10,@,Citadel,7,
27,2,Sep 16 1967,Sat,Texas-El Paso,50,,California-Santa Barbara,14,
28,2,Sep 16 1967,Sat,(8) UCLA,20,,(9) Tennessee,16,
29,2,Sep 16 1967,Sat,Utah State,3,@,Wichita State,3,
30,2,Sep 16 1967,Sat,Virginia Military Institute,46,,Davidson,21,
31,2,Sep 16 1967,Sat,Virginia Tech,13,@,Tampa,3,
32,2,Sep 16 1967,Sat,West Chester,14,,Villanova,9,
33,2,Sep 16 1967,Sat,West Texas State,35,,Montana State,26,
34,2,Sep 16 1967,Sat,West Virginia,27,@,Richmond,6,
35,2,Sep 16 1967,Sat,Western Michigan,24,,Miami (OH),14,
36,2,Sep 16 1967,Sat,Wyoming,36,@,Arizona,17,
37,2,Sep 16 1967,Sat,Xavier,20,,Quantico Marines,18,
38,3,Sep 23 1967,Sat,Akron,6,,Tampa,0,
39,3,Sep 23 1967,Sat,Arkansas State,21,@,Western Michigan,8,
40,3,Sep 23 1967,Sat,Army,26,,Virginia,7,
41,3,Sep 23 1967,Sat,Auburn,40,,Chattanooga,6,
42,3,Sep 23 1967,Sat,Boston College,27,@,Villanova,24,
43,3,Sep 23 1967,Sat,Boston University,20,@,Colgate,14,
44,3,Sep 23 1967,Sat,Bowling Green,29,,Quantico Marines,0,
45,3,Sep 23 1967,Sat,Brigham Young,44,,New Mexico,14,
46,3,Sep 23 1967,Sat,California-Santa Barbara,24,@,Pacific,20,
47,3,Sep 23 1967,Sat,Citadel,17,,Wofford,7,
48,3,Sep 23 1967,Sat,Clemson,23,,Wake Forest,6,
49,3,Sep 23 1967,Sat,(9) Colorado,17,@,Oregon,13,
50,3,Sep 23 1967,Sat,Davidson,45,@,Furman,22,
51,3,Sep 23 1967,Sat,Dayton,27,@,Cincinnati,13,
52,3,Sep 23 1967,Sat,East Carolina,23,@,Richmond,7,
53,3,Sep 23 1967,Sat,Florida,14,,Illinois,0,
54,3,Sep 23 1967,Sat,Florida State,37,@,(2) Alabama,37,
55,3,Sep 23 1967,Sat,(7) Georgia,30,,Mississippi State,0,
56,3,Sep 23 1967,Sat,Georgia Tech,17,@,Vanderbilt,10,
57,3,Sep 23 1967,Sat,Houston,37,@,(3) Michigan State,7,
58,3,Sep 23 1967,Sat,Idaho,30,@,Fresno State,14,
59,3,Sep 23 1967,Sat,Indiana,12,,Kentucky,10,
60,3,Sep 23 1967,Sat,Iowa,24,,Texas Christian,9,
61,3,Sep 23 1967,Sat,Kansas State,17,@,Colorado State,7,
62,3,Sep 23 1967,Sat,Kent State,35,,Northern Illinois,0,
63,3,Sep 23 1967,Sat,Louisiana State,20,,Rice,14,
64,3,Sep 23 1967,Sat,Louisville,26,,Southern Illinois,0,
65,3,Sep 23 1967,Sat,Memphis,27,,Mississippi,17,
66,3,Sep 23 1967,Sat,Miami (OH),14,@,Tulane,3,
67,3,Sep 23 1967,Sat,Michigan,10,,Duke,7,
68,3,Sep 23 1967,Sat,Minnesota,13,,Utah,12,
69,3,Sep 23 1967,Sat,Missouri,21,,Southern Methodist,0,
70,3,Sep 23 1967,Sat,Navy,23,,Penn State,22,
71,3,Sep 23 1967,Sat,North Carolina State,24,,Buffalo,6,
72,3,Sep 23 1967,Sat,North Texas,31,,Drake,0,
73,3,Sep 23 1967,Sat,Northwestern,12,,(8) Miami (FL),7,
74,3,Sep 23 1967,Sat,(1) Notre Dame,41,,California,8,
75,3,Sep 23 1967,Sat,Ohio,48,@,Marshall,14,
76,3,Sep 23 1967,Sat,Oklahoma,21,,Washington State,0,
77,3,Sep 23 1967,Sat,Oklahoma State,7,@,Arkansas,6,
78,3,Sep 23 1967,Sat,Oregon State,27,@,Arizona State,21,
79,3,Sep 23 1967,Sat,Purdue,24,@,Texas A&M,20,
80,3,Sep 23 1967,Sat,South Carolina,16,,North Carolina,10,
81,3,Sep 23 1967,Sat,(4) Southern California,17,,(5) Texas,13,
82,3,Sep 23 1967,Sat,Southern Mississippi,20,,Southeastern Louisiana,7,
83,3,Sep 23 1967,Sat,Stanford,21,,Kansas,20,
84,3,Sep 23 1967,Sat,Syracuse,7,,Baylor,0,
85,3,Sep 23 1967,Sat,Texas Tech,52,,Iowa State,0,
86,3,Sep 23 1967,Sat,Texas-Arlington,15,,New Mexico State,14,
87,3,Sep 23 1967,Sat,Toledo,24,@,Xavier,7,
88,3,Sep 23 1967,Sat,(6) UCLA,40,@,Pittsburgh,8,
89,3,Sep 23 1967,Sat,Utah State,44,@,West Texas State,27,
90,3,Sep 23 1967,Sat,Virginia Tech,31,,William & Mary,7,
91,3,Sep 23 1967,Sat,Washington,17,,Wisconsin,0,
92,3,Sep 23 1967,Sat,West Virginia,21,,Virginia Military Institute,9,
93,3,Sep 23 1967,Sat,Wyoming,37,,Air Force,10,
94,4,Sep 29 1967,Fri,Brigham Young,44,,Western Michigan,19,
95,4,Sep 29 1967,Fri,(3) Houston,50,,Wake Forest,6,
96,4,Sep 29 1967,Fri,Penn State,17,@,Miami (FL),8,
97,4,Sep 30 1967,Sat,(9) Alabama,25,N,Southern Mississippi,3,
98,4,Sep 30 1967,Sat,Arizona,14,@,Ohio State,7,
99,4,Sep 30 1967,Sat,Arizona State,42,@,Wisconsin,16,
100,4,Sep 30 1967,Sat,Army,21,@,Boston College,10,
101,4,Sep 30 1967,Sat,Bowling Green,7,@,Dayton,0,
102,4,Sep 30 1967,Sat,California,10,,Michigan,9,
103,4,Sep 30 1967,Sat,Citadel,42,@,Maine,14,
104,4,Sep 30 1967,Sat,Columbia,17,,Colgate,14,
105,4,Sep 30 1967,Sat,Cornell,23,,Bucknell,7,
106,4,Sep 30 1967,Sat,Dartmouth,28,@,Massachusetts,10,
107,4,Sep 30 1967,Sat,East Carolina,42,,Davidson,17,
108,4,Sep 30 1967,Sat,Florida,24,@,Mississippi State,7,
109,4,Sep 30 1967,Sat,(5) Georgia,24,@,Clemson,17,
110,4,Sep 30 1967,Sat,Georgia Tech,24,,Texas Christian,7,
111,4,Sep 30 1967,Sat,Harvard,51,,Lafayette,0,
112,4,Sep 30 1967,Sat,Holy Cross,26,@,Yale,14,
113,4,Sep 30 1967,Sat,Idaho,16,N,Idaho State,6,
114,4,Sep 30 1967,Sat,Illinois,34,,Pittsburgh,6,
115,4,Sep 30 1967,Sat,Indiana,18,,Kansas,15,
116,4,Sep 30 1967,Sat,Iowa State,17,,New Mexico,12,
117,4,Sep 30 1967,Sat,Kent State,21,@,Ohio,14,
118,4,Sep 30 1967,Sat,Louisiana State,17,,Texas A&M,6,
119,4,Sep 30 1967,Sat,Memphis,17,,Cincinnati,0,
120,4,Sep 30 1967,Sat,Mississippi,26,@,Kentucky,13,
121,4,Sep 30 1967,Sat,Missouri,13,@,Northwestern,6,
122,4,Sep 30 1967,Sat,(7) Nebraska,7,,Minnesota,0,
123,4,Sep 30 1967,Sat,New Mexico State,10,,Utah State,9,
124,4,Sep 30 1967,Sat,North Carolina State,20,@,Florida State,10,
125,4,Sep 30 1967,Sat,North Texas,30,,Louisville,28,
126,4,Sep 30 1967,Sat,Oklahoma,35,,Maryland,0,
127,4,Sep 30 1967,Sat,Oregon State,38,@,Iowa,18,
128,4,Sep 30 1967,Sat,Pennsylvania,35,,Lehigh,23,
129,4,Sep 30 1967,Sat,Princeton,22,,Rutgers,21,
130,4,Sep 30 1967,Sat,(10) Purdue,28,,(1) Notre Dame,21,
131,4,Sep 30 1967,Sat,Rhode Island,12,@,Brown,8,
132,4,Sep 30 1967,Sat,Rice,21,,Navy,7,
133,4,Sep 30 1967,Sat,Richmond,3,@,Virginia Military Institute,0,
134,4,Sep 30 1967,Sat,South Carolina,21,@,Duke,17,
135,4,Sep 30 1967,Sat,(2) Southern California,21,@,Michigan State,17,
136,4,Sep 30 1967,Sat,Stanford,28,,San Jose State,14,
137,4,Sep 30 1967,Sat,Syracuse,23,,West Virginia,6,
138,4,Sep 30 1967,Sat,Tennessee,27,,Auburn,13,
139,4,Sep 30 1967,Sat,Texas Tech,19,@,(8) Texas,13,
