Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 14 1968,Sat,California-Santa Barbara,14,@,Texas-El Paso,14,
2,1,Sep 14 1968,Sat,Colorado State,21,@,New Mexico,13,
3,1,Sep 14 1968,Sat,Dayton,24,,Kent State,10,
4,1,Sep 14 1968,Sat,East Carolina,37,,Parsons,7,
5,1,Sep 14 1968,Sat,Georgia,17,@,(9) Tennessee,17,
6,1,Sep 14 1968,Sat,Houston,54,,Tulane,7,
7,1,Sep 14 1968,Sat,Iowa State,28,,Buffalo,10,
8,1,Sep 14 1968,Sat,Miami (OH),28,@,Xavier,7,
9,1,Sep 14 1968,Sat,Mississippi College,21,,Furman,12,
10,1,Sep 14 1968,Sat,Montana State,17,,Idaho,14,
11,1,Sep 14 1968,Sat,Morehead State,7,@,Marshall,7,
12,1,Sep 14 1968,Sat,(14) Nebraska,13,,Wyoming,10,
13,1,Sep 14 1968,Sat,North Carolina State,10,@,Wake Forest,6,
14,1,Sep 14 1968,Sat,Northern Illinois,40,@,Ball State,20,
15,1,Sep 14 1968,Sat,Toledo,31,,Richmond,14,
16,1,Sep 14 1968,Sat,Utah State,28,,New Mexico State,12,
17,1,Sep 14 1968,Sat,West Texas State,45,,Lamar,7,
18,1,Sep 14 1968,Sat,Western Michigan,20,,Arkansas State,0,
19,2,Sep 20 1968,Fri,(19) Miami (FL),28,,Northwestern,7,
20,2,Sep 20 1968,Fri,San Diego State,40,,Northern Illinois,21,
21,2,Sep 21 1968,Sat,(7) Alabama,14,,Virginia Tech,7,
22,2,Sep 21 1968,Sat,Arizona,21,@,Iowa State,12,
23,2,Sep 21 1968,Sat,Arizona State,55,,Wisconsin,7,
24,2,Sep 21 1968,Sat,Arkansas,32,,Oklahoma State,15,
25,2,Sep 21 1968,Sat,Army,34,,Citadel,14,
26,2,Sep 21 1968,Sat,Bowling Green,62,,Ball State,8,
27,2,Sep 21 1968,Sat,Brigham Young,17,@,Western Michigan,7,
28,2,Sep 21 1968,Sat,Bucknell,22,,Davidson,13,
29,2,Sep 21 1968,Sat,Buffalo,21,@,Kent State,13,
30,2,Sep 21 1968,Sat,California,21,@,Michigan,7,
31,2,Sep 21 1968,Sat,Cincinnati,10,@,Texas Tech,10,
32,2,Sep 21 1968,Sat,Clemson,20,@,Wake Forest,20,
33,2,Sep 21 1968,Sat,Colgate,28,@,Boston University,0,
34,2,Sep 21 1968,Sat,Colorado,28,,Oregon,7,
35,2,Sep 21 1968,Sat,Dayton,57,,St. Joseph's (Pennsylvania),0,
36,2,Sep 21 1968,Sat,Duke,14,@,South Carolina,7,
37,2,Sep 21 1968,Sat,(6) Florida,23,,Air Force,20,
38,2,Sep 21 1968,Sat,Florida State,24,@,Maryland,14,
39,2,Sep 21 1968,Sat,Furman,13,,Presbyterian,9,
40,2,Sep 21 1968,Sat,Georgia Tech,17,,Texas Christian,7,
41,2,Sep 21 1968,Sat,(11) Houston,20,@,(4) Texas,20,
42,2,Sep 21 1968,Sat,(15) Indiana,40,,Baylor,36,
43,2,Sep 21 1968,Sat,Iowa,21,,(8) Oregon State,20,
44,2,Sep 21 1968,Sat,Kansas,47,@,Illinois,7,
45,2,Sep 21 1968,Sat,Kansas State,21,,Colorado State,0,
46,2,Sep 21 1968,Sat,Kentucky,12,,Missouri,6,
47,2,Sep 21 1968,Sat,(20) Louisiana State,13,,(13) Texas A&M,12,
