Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 2 1982,Thu,Brigham Young,27,@,Nevada-Las Vegas,0,
2,1,Sep 4 1982,Sat,Abilene Christian,33,@,West Texas State,29,
3,1,Sep 4 1982,Sat,(19) Arizona State,34,@,Oregon,3,
4,1,Sep 4 1982,Sat,Baylor,21,,North Texas,17,
5,1,Sep 4 1982,Sat,Boston College,38,@,Texas A&M,16,
6,1,Sep 4 1982,Sat,Bowling Green,40,,Ohio,0,
7,1,Sep 4 1982,Sat,Cal State Fullerton,19,,Northern Arizona,15,
8,1,Sep 4 1982,Sat,Central Michigan,35,,Indiana State,10,
9,1,Sep 4 1982,Sat,Drake,40,,Northern Iowa,13,
10,1,Sep 4 1982,Sat,Duke,25,@,Tennessee,24,
11,1,Sep 4 1982,Sat,Eastern Illinois,27,,Illinois State,14,
12,1,Sep 4 1982,Sat,(16) Florida,17,,(15) Miami (FL),14,
13,1,Sep 4 1982,Sat,Florida State,38,,Cincinnati,31,
14,1,Sep 4 1982,Sat,Illinois,49,,Northwestern,13,
15,1,Sep 4 1982,Sat,Louisville,20,,Western Kentucky,10,
16,1,Sep 4 1982,Sat,Marshall,30,,Kent State,21,
17,1,Sep 4 1982,Sat,Mississippi,27,,Memphis,10,
18,1,Sep 4 1982,Sat,Mississippi State,30,@,Tulane,21,
19,1,Sep 4 1982,Sat,Missouri,28,,Colorado State,14,
20,1,Sep 4 1982,Sat,New Mexico,41,@,Wyoming,20,
21,1,Sep 4 1982,Sat,North Carolina State,26,,Furman,0,
22,1,Sep 4 1982,Sat,(8) Penn State,31,,Temple,14,
23,1,Sep 4 1982,Sat,South Carolina,41,,Pacific,6,
24,1,Sep 4 1982,Sat,Southern Illinois,38,@,Western Illinois,7,
25,1,Sep 4 1982,Sat,Southern Mississippi,45,,Louisiana-Monroe,27,
26,1,Sep 4 1982,Sat,Syracuse,31,@,Rutgers,8,
27,1,Sep 4 1982,Sat,Texas-El Paso,20,@,New Mexico State,17,
28,1,Sep 4 1982,Sat,Toledo,9,,Northern Illinois,3,
29,1,Sep 4 1982,Sat,Tulsa,35,,Air Force,17,
30,1,Sep 4 1982,Sat,Utah,30,,Montana State,12,
31,1,Sep 4 1982,Sat,Virginia Tech,20,@,Richmond,9,
32,1,Sep 4 1982,Sat,Wake Forest,31,,Western Carolina,10,
33,1,Sep 4 1982,Sat,Western Michigan,28,,Grand Valley State,3,
34,1,Sep 4 1982,Sat,Wichita State,51,,Missouri-Rolla,14,
35,1,Sep 6 1982,Mon,(7) Georgia,13,,(11) Clemson,7,
36,2,Sep 9 1982,Thu,(1) Pittsburgh,7,,(5) North Carolina,6,
37,2,Sep 11 1982,Sat,Air Force,44,,San Diego State,32,
38,2,Sep 11 1982,Sat,Akron,14,,Eastern Michigan,7,
39,2,Sep 11 1982,Sat,(4) Alabama,45,@,Georgia Tech,7,
40,2,Sep 11 1982,Sat,Arizona,38,,Oregon State,12,
41,2,Sep 11 1982,Sat,(15) Arizona State,23,,Utah,10,
42,2,Sep 11 1982,Sat,(13) Arkansas,38,,Tulsa,0,
43,2,Sep 11 1982,Sat,Auburn,28,,Wake Forest,10,
