Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 2 1977,Fri,(13) Penn State,45,@,Rutgers,7,
2,1,Sep 3 1977,Sat,Central Michigan,37,,Alcorn State,7,
3,1,Sep 3 1977,Sat,Citadel,7,,Wofford,0,
4,1,Sep 3 1977,Sat,East Carolina,28,@,North Carolina State,23,
5,1,Sep 3 1977,Sat,Eastern Michigan,25,@,Northern Illinois,2,
6,1,Sep 3 1977,Sat,Illinois State,20,,Eastern Illinois,0,
7,1,Sep 3 1977,Sat,Jackson State,17,,Alabama State,6,
8,1,Sep 3 1977,Sat,Jacksonville State,21,@,Western Carolina,16,
9,1,Sep 3 1977,Sat,Louisiana,48,,Tulsa,21,
10,1,Sep 3 1977,Sat,Mississippi,7,,Memphis,3,
11,1,Sep 3 1977,Sat,(16) Mississippi State,17,,North Texas,15,
12,1,Sep 3 1977,Sat,Mississippi Valley State,27,,Bishop,10,
13,1,Sep 3 1977,Sat,New Mexico State,29,,Southern Illinois,7,
14,1,Sep 3 1977,Sat,Northwestern State,28,@,Texas-Arlington,24,
15,1,Sep 3 1977,Sat,South Carolina,32,,Appalachian State,17,
16,1,Sep 3 1977,Sat,Southern,13,,Tuskegee,7,
17,1,Sep 3 1977,Sat,Southern Mississippi,42,@,Troy,19,
18,1,Sep 3 1977,Sat,Tennessee State,27,,Middle Tennessee State,0,
19,1,Sep 3 1977,Sat,Texas Southern,14,,Bethune-Cookman,0,
20,1,Sep 3 1977,Sat,Wichita State,14,,West Texas State,10,
21,1,Sep 3 1977,Sat,William & Mary,27,,Norfolk State,13,
22,2,Sep 10 1977,Sat,Air Force,0,@,Wyoming,0,
23,2,Sep 10 1977,Sat,(6) Alabama,34,,Mississippi,13,
24,2,Sep 10 1977,Sat,Arkansas,53,,New Mexico State,10,
25,2,Sep 10 1977,Sat,Arkansas State,31,@,Drake,29,
26,2,Sep 10 1977,Sat,Army,34,,Massachusetts,10,
27,2,Sep 10 1977,Sat,Auburn,21,,Arizona,10,
28,2,Sep 10 1977,Sat,Ball State,43,@,Toledo,3,
29,2,Sep 10 1977,Sat,Bowling Green,17,@,Grand Valley State,6,
30,2,Sep 10 1977,Sat,Brigham Young,39,,Kansas State,0,
31,2,Sep 10 1977,Sat,California,27,@,Tennessee,17,
32,2,Sep 10 1977,Sat,Central Michigan,9,,Eastern Michigan,3,
