Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 1 1979,Sat,Arizona,33,,Colorado State,17,
2,1,Sep 1 1979,Sat,East Carolina,31,,Western Carolina,6,
3,1,Sep 1 1979,Sat,Eastern Michigan,21,,Northern Michigan,7,
4,1,Sep 1 1979,Sat,Indiana State,19,,Drake,12,
5,1,Sep 1 1979,Sat,Louisiana,17,,Louisiana-Monroe,13,
6,1,Sep 1 1979,Sat,McNeese State,6,@,Tulsa,3,
7,1,Sep 1 1979,Sat,New Mexico,34,,Louisiana Tech,0,
8,1,Sep 1 1979,Sat,New Mexico State,23,,Wichita State,13,
9,1,Sep 1 1979,Sat,North Texas,35,,Texas-El Paso,0,
10,1,Sep 1 1979,Sat,Utah,34,,Long Beach State,10,
11,1,Sep 1 1979,Sat,West Texas State,14,,Southern Illinois,0,
12,2,Sep 8 1979,Sat,(2) Alabama,30,@,Georgia Tech,6,
13,2,Sep 8 1979,Sat,Arizona,22,@,Washington State,7,
14,2,Sep 8 1979,Sat,Arkansas State,24,,Texas A&M-Commerce,14,
15,2,Sep 8 1979,Sat,Baylor,20,,Lamar,7,
16,2,Sep 8 1979,Sat,Bowling Green,32,,Eastern Michigan,6,
17,2,Sep 8 1979,Sat,Brigham Young,18,@,(14) Texas A&M,17,
18,2,Sep 8 1979,Sat,California,17,@,(18) Arizona State,9,
19,2,Sep 8 1979,Sat,Central Michigan,10,,Western Michigan,0,
20,2,Sep 8 1979,Sat,Chattanooga,41,,Western Kentucky,28,
21,2,Sep 8 1979,Sat,Clemson,21,,Furman,0,
22,2,Sep 8 1979,Sat,Drake,14,,New Mexico State,13,
23,2,Sep 8 1979,Sat,East Tennessee State,31,,James Madison,0,
24,2,Sep 8 1979,Sat,Eastern Kentucky,17,@,Kent State,14,
25,2,Sep 8 1979,Sat,(19) Florida State,17,,Southern Mississippi,14,
26,2,Sep 8 1979,Sat,Fresno State,30,,Idaho,10,
27,2,Sep 8 1979,Sat,(16) Houston,24,@,UCLA,16,
28,2,Sep 8 1979,Sat,Indiana,30,@,Iowa,26,
29,2,Sep 8 1979,Sat,Indiana State,28,@,Wichita State,9,
30,2,Sep 8 1979,Sat,Marshall,31,,Toledo,14,
31,2,Sep 8 1979,Sat,Maryland,24,,Villanova,20,
32,2,Sep 8 1979,Sat,McNeese State,10,,Southeastern Louisiana,3,
33,2,Sep 8 1979,Sat,Memphis,14,@,Mississippi State,13,
34,2,Sep 8 1979,Sat,Miami (OH),27,,Ball State,3,
35,2,Sep 8 1979,Sat,(7) Michigan,49,,Northwestern,7,
36,2,Sep 8 1979,Sat,(10) Michigan State,33,,Illinois,16,
37,2,Sep 8 1979,Sat,Minnesota,24,,Ohio,10,
38,2,Sep 8 1979,Sat,(12) Missouri,45,,San Diego State,15,
39,2,Sep 8 1979,Sat,Nevada-Las Vegas,35,@,Cal State Fullerton,14,
40,2,Sep 8 1979,Sat,New Mexico,35,,Oregon State,16,
41,2,Sep 8 1979,Sat,North Carolina,28,,South Carolina,0,
42,2,Sep 8 1979,Sat,North Carolina State,34,,East Carolina,20,
43,2,Sep 8 1979,Sat,Ohio State,31,,Syracuse,8,
44,2,Sep 8 1979,Sat,Oklahoma State,25,,North Texas,7,
45,2,Sep 8 1979,Sat,Oregon,33,@,Colorado,19,
46,2,Sep 8 1979,Sat,Presbyterian,21,@,Citadel,13,
47,2,Sep 8 1979,Sat,(6) Purdue,41,,Wisconsin,20,
48,2,Sep 8 1979,Sat,Rutgers,28,,Holy Cross,0,
49,2,Sep 8 1979,Sat,(1) Southern California,21,@,Texas Tech,7,
50,2,Sep 8 1979,Sat,Southern Illinois,17,,Louisiana,7,
51,2,Sep 8 1979,Sat,Southern Methodist,35,,Rice,17,
52,2,Sep 8 1979,Sat,Temple,38,@,West Virginia,16,
53,2,Sep 8 1979,Sat,Texas-Arlington,10,@,West Texas State,6,
54,2,Sep 8 1979,Sat,Texas-El Paso,31,,Pacific,7,
55,2,Sep 8 1979,Sat,Tulane,33,,(13) Stanford,10,
56,2,Sep 8 1979,Sat,Tulsa,24,@,Air Force,7,
57,2,Sep 8 1979,Sat,Utah,27,@,Hawaii,23,
58,2,Sep 8 1979,Sat,Utah State,48,@,San Jose State,48,
59,2,Sep 8 1979,Sat,Virginia,31,,Richmond,0,
60,2,Sep 8 1979,Sat,Virginia Military Institute,7,,William & Mary,3,
61,2,Sep 8 1979,Sat,Virginia Tech,15,@,Louisville,14,
62,2,Sep 8 1979,Sat,Wake Forest,30,,Appalachian State,23,
63,2,Sep 8 1979,Sat,(15) Washington,38,,Wyoming,2,
64,2,Sep 8 1979,Sat,Western Carolina,24,@,Tennessee Tech,7,
65,2,Sep 8 1979,Sat,Youngstown State,33,,Illinois State,27,
66,3,Sep 15 1979,Sat,Akron,15,,Kent State,13,
67,3,Sep 15 1979,Sat,(17) Arkansas,36,,Colorado State,3,
68,3,Sep 15 1979,Sat,Army,26,,Connecticut,10,
69,3,Sep 15 1979,Sat,Auburn,26,,Kansas State,18,
70,3,Sep 15 1979,Sat,Baylor,17,,Texas A&M,7,
71,3,Sep 15 1979,Sat,Brigham Young,48,,Weber State,3,
72,3,Sep 15 1979,Sat,California,10,@,Arizona,7,
73,3,Sep 15 1979,Sat,Chattanooga,24,,Louisiana Tech,7,
74,3,Sep 15 1979,Sat,Duke,28,,East Carolina,14,
75,3,Sep 15 1979,Sat,(18) Florida State,31,,Arizona State,3,
76,3,Sep 15 1979,Sat,Fresno State,22,@,Montana State,20,
77,3,Sep 15 1979,Sat,(13) Houston,14,,Florida,10,
78,3,Sep 15 1979,Sat,Illinois State,35,,Fort Hays State,7,
79,3,Sep 15 1979,Sat,Indiana,44,,Vanderbilt,13,
80,3,Sep 15 1979,Sat,Indiana State,17,@,Western Illinois,14,
81,3,Sep 15 1979,Sat,Iowa State,38,,Bowling Green,10,
82,3,Sep 15 1979,Sat,Lamar,58,@,Western Kentucky,27,
83,3,Sep 15 1979,Sat,Long Beach State,9,,Boise State,7,
84,3,Sep 15 1979,Sat,Louisiana State,44,@,Colorado,0,
85,3,Sep 15 1979,Sat,Louisiana-Monroe,18,,Arkansas State,17,
86,3,Sep 15 1979,Sat,Maryland,19,@,Clemson,0,
87,3,Sep 15 1979,Sat,McNeese State,21,,West Texas State,0,
88,3,Sep 15 1979,Sat,Miami (FL),24,,Louisville,12,
89,3,Sep 15 1979,Sat,Miami (OH),15,@,Kentucky,14,
90,3,Sep 15 1979,Sat,(10) Michigan State,41,,Oregon,17,
91,3,Sep 15 1979,Sat,Mississippi,38,@,Memphis,34,
92,3,Sep 15 1979,Sat,(11) Missouri,14,@,Illinois,6,
93,3,Sep 15 1979,Sat,Navy,26,,Citadel,7,
94,3,Sep 15 1979,Sat,(8) Nebraska,35,,Utah State,14,
95,3,Sep 15 1979,Sat,Nevada-Las Vegas,26,@,Nevada,21,
96,3,Sep 15 1979,Sat,New Hampshire,26,,Holy Cross,17,
97,3,Sep 15 1979,Sat,New Mexico State,14,@,Texas-El Paso,13,
98,3,Sep 15 1979,Sat,(19) North Carolina State,31,,Virginia,27,
99,3,Sep 15 1979,Sat,North Texas,19,N,Texas-Arlington,14,
100,3,Sep 15 1979,Sat,Northern Illinois,21,,East Tennessee State,14,
101,3,Sep 15 1979,Sat,Northwestern,27,,Wyoming,22,
102,3,Sep 15 1979,Sat,Northwestern State,27,,Stephen F. Austin,21,
103,3,Sep 15 1979,Sat,(9) Notre Dame,12,@,(6) Michigan,10,
104,3,Sep 15 1979,Sat,Ohio,20,,Eastern Michigan,7,
105,3,Sep 15 1979,Sat,(15) Ohio State,21,@,Minnesota,17,
106,3,Sep 15 1979,Sat,(3) Oklahoma,21,,Iowa,6,
107,3,Sep 15 1979,Sat,Oklahoma State,16,,Wichita State,6,
108,3,Sep 15 1979,Sat,Pacific,31,,Cal Poly,17,
109,3,Sep 15 1979,Sat,(7) Penn State,45,,Rutgers,10,
110,3,Sep 15 1979,Sat,(16) Pittsburgh,24,,Kansas,0,
111,3,Sep 15 1979,Sat,Presbyterian,17,@,Furman,10,
112,3,Sep 15 1979,Sat,Rice,21,,Tulane,17,
113,3,Sep 15 1979,Sat,South Carolina,24,,Western Michigan,7,
114,3,Sep 15 1979,Sat,(1) Southern California,42,@,Oregon State,5,
115,3,Sep 15 1979,Sat,Southern Illinois,18,@,Tennessee State,16,
116,3,Sep 15 1979,Sat,(20) Southern Methodist,27,@,Texas Christian,7,
117,3,Sep 15 1979,Sat,Southern Mississippi,24,,Cincinnati,6,
118,3,Sep 15 1979,Sat,Stanford,45,,San Jose State,29,
119,3,Sep 15 1979,Sat,Syracuse,24,N,West Virginia,14,
120,3,Sep 15 1979,Sat,Temple,43,,Drake,21,
121,3,Sep 15 1979,Sat,Tennessee,28,@,Boston College,16,
122,3,Sep 15 1979,Sat,Texas Tech,17,,New Mexico,7,
123,3,Sep 15 1979,Sat,Toledo,31,,Ball State,14,
124,3,Sep 15 1979,Sat,Tulsa,28,,Louisiana,20,
125,3,Sep 15 1979,Sat,UCLA,31,,(5) Purdue,21,
126,3,Sep 15 1979,Sat,Villanova,35,,Massachusetts,7,
127,3,Sep 15 1979,Sat,Virginia Military Institute,17,,Richmond,7,
128,3,Sep 15 1979,Sat,Virginia Tech,41,,Appalachian State,32,
129,3,Sep 15 1979,Sat,Wake Forest,22,@,(12) Georgia,21,
130,3,Sep 15 1979,Sat,(14) Washington,41,,Utah,7,
131,3,Sep 15 1979,Sat,Washington State,34,,Montana,14,
132,3,Sep 15 1979,Sat,Western Carolina,24,@,Marshall,0,
133,3,Sep 15 1979,Sat,William & Mary,28,,Colgate,15,
134,3,Sep 15 1979,Sat,Wisconsin,38,,Air Force,0,
135,4,Sep 22 1979,Sat,(2) Alabama,45,,Baylor,0,
136,4,Sep 22 1979,Sat,Appalachian State,35,@,Western Carolina,27,
137,4,Sep 22 1979,Sat,Arizona State,49,,Toledo,0,
138,4,Sep 22 1979,Sat,(15) Arkansas,27,,Oklahoma State,7,
139,4,Sep 22 1979,Sat,Arkansas State,24,,Southern Illinois,16,
140,4,Sep 22 1979,Sat,Army,17,@,Stanford,13,
141,4,Sep 22 1979,Sat,Auburn,31,,Southern Mississippi,9,
142,4,Sep 22 1979,Sat,Ball State,35,@,Kent State,10,
143,4,Sep 22 1979,Sat,Boise State,22,,Cal State Fullerton,3,
144,4,Sep 22 1979,Sat,Boston College,34,,Villanova,7,
