Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 26 1992,Wed,(7) Texas A&M,10,N,(17) Stanford,7,
2,1,Aug 29 1992,Sat,North Carolina State,24,N,(16) Iowa,14,
3,2,Sep 3 1992,Thu,Bowling Green,29,,Western Michigan,19,
4,2,Sep 3 1992,Thu,(15) Oklahoma,34,@,Texas Tech,9,
5,2,Sep 5 1992,Sat,Air Force,30,,Rice,21,
6,2,Sep 5 1992,Sat,Akron,27,@,Eastern Michigan,9,
7,2,Sep 5 1992,Sat,(9) Alabama,25,,Vanderbilt,8,
8,2,Sep 5 1992,Sat,Arizona,49,,Utah State,3,
9,2,Sep 5 1992,Sat,Boston College,37,,Rutgers,20,
10,2,Sep 5 1992,Sat,Brigham Young,38,@,Texas-El Paso,28,
11,2,Sep 5 1992,Sat,Cal State Fullerton,28,,Cal State Northridge,7,
12,2,Sep 5 1992,Sat,(19) California,46,,San Jose State,16,
13,2,Sep 5 1992,Sat,Citadel,10,@,Arkansas,3,
14,2,Sep 5 1992,Sat,(13) Clemson,24,,Ball State,10,
15,2,Sep 5 1992,Sat,(12) Colorado,37,,Colorado State,17,
16,2,Sep 5 1992,Sat,(4) Florida State,48,,Duke,21,
17,2,Sep 5 1992,Sat,Fresno State,42,@,Pacific,21,
18,2,Sep 5 1992,Sat,(14) Georgia,28,@,South Carolina,6,
19,2,Sep 5 1992,Sat,Hawaii,24,@,Oregon,21,
20,2,Sep 5 1992,Sat,Illinois,30,,Northern Illinois,14,
21,2,Sep 5 1992,Sat,Iowa State,35,,Ohio,9,
22,2,Sep 5 1992,Sat,Kansas,49,@,Oregon State,20,
23,2,Sep 5 1992,Sat,Kentucky,21,,Central Michigan,14,
24,2,Sep 5 1992,Sat,Louisiana Tech,10,@,Baylor,9,
25,2,Sep 5 1992,Sat,(1) Miami (FL),24,@,(23) Iowa,7,
26,2,Sep 5 1992,Sat,Miami (OH),29,@,West Virginia,29,
27,2,Sep 5 1992,Sat,Mississippi,45,,Auburn,21,
28,2,Sep 5 1992,Sat,(21) Mississippi State,28,@,Texas,10,
29,2,Sep 5 1992,Sat,(11) Nebraska,49,,Utah,22,
30,2,Sep 5 1992,Sat,New Mexico,24,,Texas Christian,7,
31,2,Sep 5 1992,Sat,New Mexico State,37,,Weber State,21,
32,2,Sep 5 1992,Sat,North Carolina,35,@,Wake Forest,17,
33,2,Sep 5 1992,Sat,(18) North Carolina State,35,,Appalachian State,10,
34,2,Sep 5 1992,Sat,(3) Notre Dame,42,@,Northwestern,7,
35,2,Sep 5 1992,Sat,(17) Ohio State,20,,Louisville,19,
36,2,Sep 5 1992,Sat,Oklahoma State,35,,Indiana State,3,
37,2,Sep 5 1992,Sat,(8) Penn State,24,@,Cincinnati,20,
38,2,Sep 5 1992,Sat,Pittsburgh,51,,Kent State,10,
39,2,Sep 5 1992,Sat,Southern California,31,@,San Diego State,31,
40,2,Sep 5 1992,Sat,Southern Mississippi,23,,Memphis,21,
41,2,Sep 5 1992,Sat,(10) Syracuse,42,@,East Carolina,21,
42,2,Sep 5 1992,Sat,Temple,35,,Boston University,0,
43,2,Sep 5 1992,Sat,(22) Tennessee,38,,Louisiana,3,
44,2,Sep 5 1992,Sat,(7) Texas A&M,31,@,Louisiana State,22,
45,2,Sep 5 1992,Sat,Toledo,49,,Arkansas State,0,
46,2,Sep 5 1992,Sat,Tulane,13,@,Southern Methodist,12,
47,2,Sep 5 1992,Sat,Tulsa,28,,Houston,25,
48,2,Sep 5 1992,Sat,(25) Virginia,28,,Maryland,15,
49,2,Sep 5 1992,Sat,Virginia Tech,49,,James Madison,20,
50,2,Sep 5 1992,Sat,(2) Washington,31,@,Arizona State,7,
51,2,Sep 5 1992,Sat,Washington State,25,,Montana,13,
52,2,Sep 5 1992,Sat,Wyoming,25,,Nevada,6,
53,3,Sep 10 1992,Thu,San Diego State,45,@,(25) Brigham Young,38,
54,3,Sep 12 1992,Sat,Akron,23,,Toledo,20,
55,3,Sep 12 1992,Sat,(8) Alabama,17,,Southern Mississippi,10,
56,3,Sep 12 1992,Sat,Arkansas,45,@,South Carolina,7,
57,3,Sep 12 1992,Sat,Army,17,,Holy Cross,7,
58,3,Sep 12 1992,Sat,Auburn,55,,Samford,0,
59,3,Sep 12 1992,Sat,Boston College,49,,Northwestern,0,
