Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 29 1983,Mon,(1) Nebraska,44,N,(4) Penn State,6,
2,2,Sep 1 1983,Thu,Houston,45,@,Rice,14,
3,2,Sep 2 1983,Fri,Temple,17,,Syracuse,6,
4,2,Sep 3 1983,Sat,Air Force,34,@,Colorado State,13,
5,2,Sep 3 1983,Sat,Akron,13,,Kent State,6,
6,2,Sep 3 1983,Sat,Appalachian State,27,@,Wake Forest,25,
7,2,Sep 3 1983,Sat,(14) Arizona,50,,Oregon State,6,
8,2,Sep 3 1983,Sat,Ball State,42,,Rhode Island,26,
9,2,Sep 3 1983,Sat,Boston College,45,,Morgan State,12,
10,2,Sep 3 1983,Sat,Cal State Fullerton,13,@,Boise State,10,
11,2,Sep 3 1983,Sat,California,19,@,Texas A&M,17,
12,2,Sep 3 1983,Sat,Clemson,44,,Western Carolina,10,
13,2,Sep 3 1983,Sat,Eastern Illinois,38,@,Illinois State,7,
14,2,Sep 3 1983,Sat,Eastern Michigan,7,,Marshall,3,
15,2,Sep 3 1983,Sat,Florida,28,,Miami (FL),3,
16,2,Sep 3 1983,Sat,(7) Florida State,47,,East Carolina,46,
17,2,Sep 3 1983,Sat,(15) Georgia,19,,(20) UCLA,8,
18,2,Sep 3 1983,Sat,Indiana State,10,,Louisiana-Monroe,9,
19,2,Sep 3 1983,Sat,Kentucky,31,,Central Michigan,14,
20,2,Sep 3 1983,Sat,Long Beach State,28,@,Kansas State,20,
21,2,Sep 3 1983,Sat,Memphis,37,,Mississippi,17,
22,2,Sep 3 1983,Sat,Mississippi State,14,,Tulane,9,
23,2,Sep 3 1983,Sat,Missouri Southern,29,@,Wichita State,21,
24,2,Sep 3 1983,Sat,Nevada-Las Vegas,28,,Nevada,18,
25,2,Sep 3 1983,Sat,New Mexico,17,,Utah,7,
26,2,Sep 3 1983,Sat,(11) North Carolina,24,@,South Carolina,8,
27,2,Sep 3 1983,Sat,North Texas,32,,West Texas State,3,
28,2,Sep 3 1983,Sat,Northern Illinois,37,@,Kansas,34,
29,2,Sep 3 1983,Sat,Northern Iowa,34,,Drake,10,
30,2,Sep 3 1983,Sat,Pacific,21,@,Oregon,15,
31,2,Sep 3 1983,Sat,Pittsburgh,13,@,Tennessee,3,
32,2,Sep 3 1983,Sat,Southern Illinois,38,@,Western Illinois,6,
33,2,Sep 3 1983,Sat,(19) Southern Methodist,24,,Louisville,6,
34,2,Sep 3 1983,Sat,Southern Mississippi,32,,Richmond,3,
35,2,Sep 3 1983,Sat,Texas-El Paso,20,,New Mexico State,9,
36,2,Sep 3 1983,Sat,Tulsa,34,,San Diego State,9,
37,2,Sep 3 1983,Sat,Virginia,38,,Duke,30,
38,2,Sep 3 1983,Sat,Washington State,27,,Montana State,7,
39,2,Sep 3 1983,Sat,West Virginia,55,,Ohio,3,
40,2,Sep 3 1983,Sat,Wyoming,34,,South Dakota,13,
41,3,Sep 10 1983,Sat,Abilene Christian,28,@,West Texas State,3,
42,3,Sep 10 1983,Sat,Air Force,28,,Texas Tech,13,
43,3,Sep 10 1983,Sat,Akron,13,@,Eastern Michigan,0,
44,3,Sep 10 1983,Sat,(14) Alabama,20,,Georgia Tech,7,
45,3,Sep 10 1983,Sat,(11) Arizona,38,,Utah,0,
46,3,Sep 10 1983,Sat,Arizona State,39,,Utah State,12,
