Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 5 1981,Sat,(4) Alabama,24,@,Louisiana State,7,
2,1,Sep 5 1981,Sat,Appalachian State,48,,Lenoir-Rhyne,9,
3,1,Sep 5 1981,Sat,Auburn,24,,Texas Christian,16,
4,1,Sep 5 1981,Sat,(16) Brigham Young,31,@,Long Beach State,8,
5,1,Sep 5 1981,Sat,Clemson,45,,Wofford,10,
6,1,Sep 5 1981,Sat,Drake,39,@,Northern Iowa,30,
7,1,Sep 5 1981,Sat,East Carolina,42,,Western Carolina,6,
8,1,Sep 5 1981,Sat,East Tennessee State,31,,Tennessee Tech,22,
9,1,Sep 5 1981,Sat,(19) Florida State,17,,Louisville,0,
10,1,Sep 5 1981,Sat,Fresno State,23,,Oregon,16,
11,1,Sep 5 1981,Sat,(10) Georgia,44,,Tennessee,0,
12,1,Sep 5 1981,Sat,Houston,21,,New Mexico,10,
13,1,Sep 5 1981,Sat,Illinois State,31,,Western Illinois,7,
14,1,Sep 5 1981,Sat,Kansas,15,@,Tulsa,11,
15,1,Sep 5 1981,Sat,Kentucky,28,,North Texas,6,
16,1,Sep 5 1981,Sat,Lamar,18,@,Baylor,17,
17,1,Sep 5 1981,Sat,Louisiana-Monroe,38,,Indiana State,8,
18,1,Sep 5 1981,Sat,McNeese State,27,,Southern Illinois,12,
19,1,Sep 5 1981,Sat,Miami (FL),21,,(17) Florida,20,
20,1,Sep 5 1981,Sat,Mississippi,19,@,Tulane,18,
21,1,Sep 5 1981,Sat,(14) Mississippi State,20,,Memphis,3,
22,1,Sep 5 1981,Sat,Nevada-Las Vegas,16,@,San Jose State,6,
23,1,Sep 5 1981,Sat,New Mexico State,14,@,Texas-El Paso,7,
24,1,Sep 5 1981,Sat,North Carolina State,27,,Richmond,21,
25,1,Sep 5 1981,Sat,Pacific,10,,Central Michigan,3,
26,1,Sep 5 1981,Sat,(8) Pittsburgh,26,,Illinois,6,
27,1,Sep 5 1981,Sat,Rutgers,29,@,Syracuse,27,
28,1,Sep 5 1981,Sat,South Carolina,23,@,Wake Forest,6,
