Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 10 1971,Fri,(16) Alabama,17,@,(5) Southern California,10,
2,1,Sep 10 1971,Fri,Brigham Young,41,@,North Texas,13,
3,1,Sep 11 1971,Sat,Appalachian State,0,@,Furman,0,
4,1,Sep 11 1971,Sat,(7) Arkansas,51,,California,20,
5,1,Sep 11 1971,Sat,Boise State,42,@,Idaho,14,
6,1,Sep 11 1971,Sat,Colorado,31,@,(9) Louisiana State,21,
7,1,Sep 11 1971,Sat,Dayton,16,,Cincinnati,3,
8,1,Sep 11 1971,Sat,Duke,12,@,Florida,6,
9,1,Sep 11 1971,Sat,Florida State,24,N,Southern Mississippi,9,
10,1,Sep 11 1971,Sat,(18) Georgia,56,,Oregon State,25,
11,1,Sep 11 1971,Sat,Hayward State,18,,Fresno State,14,
12,1,Sep 11 1971,Sat,Houston,23,@,Rice,21,
13,1,Sep 11 1971,Sat,Kansas,34,,Washington State,0,
14,1,Sep 11 1971,Sat,Kent State,23,@,North Carolina State,21,
15,1,Sep 11 1971,Sat,Kentucky,13,@,Clemson,10,
16,1,Sep 11 1971,Sat,Louisiana Tech,28,,Tampa,20,
17,1,Sep 11 1971,Sat,Memphis,30,,West Texas State,0,
18,1,Sep 11 1971,Sat,Miami (OH),17,@,Pacific,10,
19,1,Sep 11 1971,Sat,(4) Michigan,21,@,(20) Northwestern,6,
20,1,Sep 11 1971,Sat,Michigan State,10,,Illinois,0,
21,1,Sep 11 1971,Sat,Minnesota,28,,Indiana,0,
22,1,Sep 11 1971,Sat,Mississippi,29,,Long Beach State,13,
23,1,Sep 11 1971,Sat,Navy,10,@,Virginia,6,
24,1,Sep 11 1971,Sat,(2) Nebraska,34,,Oregon,7,
25,1,Sep 11 1971,Sat,New Mexico State,7,,Drake,3,
26,1,Sep 11 1971,Sat,North Carolina,28,@,Richmond,0,
27,1,Sep 11 1971,Sat,(11) Ohio State,52,,Iowa,21,
28,1,Sep 11 1971,Sat,Oklahoma State,26,,Mississippi State,7,
29,1,Sep 11 1971,Sat,Pittsburgh,29,@,(15) UCLA,25,
30,1,Sep 11 1971,Sat,South Carolina,24,,(17) Georgia Tech,7,
31,1,Sep 11 1971,Sat,(19) Stanford,19,@,Missouri,0,
32,1,Sep 11 1971,Sat,Texas A&M,41,,Wichita State,7,
33,1,Sep 11 1971,Sat,Texas-El Paso,38,,Texas-Arlington,9,
34,1,Sep 11 1971,Sat,Toledo,45,@,East Carolina,0,
35,1,Sep 11 1971,Sat,Tulane,15,,Texas Tech,9,
36,1,Sep 11 1971,Sat,Utah State,10,@,Kansas State,7,
37,1,Sep 11 1971,Sat,Vanderbilt,20,,Chattanooga,19,
38,1,Sep 11 1971,Sat,Villanova,28,@,Maryland,13,
39,1,Sep 11 1971,Sat,Wake Forest,27,,Davidson,7,
40,1,Sep 11 1971,Sat,Washington,65,,California-Santa Barbara,7,
41,1,Sep 11 1971,Sat,West Virginia,45,,Boston College,14,
42,1,Sep 11 1971,Sat,Western Michigan,35,,Illinois State,7,
43,1,Sep 11 1971,Sat,William & Mary,35,@,Citadel,28,
44,1,Sep 11 1971,Sat,Wisconsin,31,,Northern Illinois,0,
45,1,Sep 11 1971,Sat,Wyoming,42,,South Dakota,28,
46,2,Sep 18 1971,Sat,Air Force,7,,Missouri,6,
47,2,Sep 18 1971,Sat,(9) Alabama,42,,Southern Mississippi,6,
48,2,Sep 18 1971,Sat,Arizona,39,@,Washington State,28,
49,2,Sep 18 1971,Sat,(16) Arizona State,18,,(20) Houston,17,
50,2,Sep 18 1971,Sat,(6) Arkansas,31,,Oklahoma State,10,
51,2,Sep 18 1971,Sat,Arkansas State,16,@,Wichita State,14,
52,2,Sep 18 1971,Sat,(7) Auburn,60,,Chattanooga,7,
53,2,Sep 18 1971,Sat,Boston College,17,@,Temple,3,
54,2,Sep 18 1971,Sat,Bowling Green,20,@,Ohio,19,
55,2,Sep 18 1971,Sat,Brigham Young,54,,Colorado State,14,
56,2,Sep 18 1971,Sat,California,20,,West Virginia,10,
57,2,Sep 18 1971,Sat,Cincinnati,42,,Kent State,20,
58,2,Sep 18 1971,Sat,Citadel,38,@,Bucknell,35,
59,2,Sep 18 1971,Sat,Colgate,27,,Boston University,21,
60,2,Sep 18 1971,Sat,(12) Colorado,56,,Wyoming,13,
61,2,Sep 18 1971,Sat,Drake,34,,Abilene Christian,17,
62,2,Sep 18 1971,Sat,Duke,28,,(19) South Carolina,12,
63,2,Sep 18 1971,Sat,Florida State,20,@,Miami (FL),17,
64,2,Sep 18 1971,Sat,Fresno State,14,,San Jose State,7,
65,2,Sep 18 1971,Sat,(11) Georgia,17,,Tulane,7,
66,2,Sep 18 1971,Sat,Georgia Tech,10,,(18) Michigan State,0,
67,2,Sep 18 1971,Sat,Indiana,26,,Kentucky,8,
68,2,Sep 18 1971,Sat,Iowa State,24,,Idaho,7,
69,2,Sep 18 1971,Sat,Kansas,22,,Baylor,0,
70,2,Sep 18 1971,Sat,Kansas State,19,@,Tulsa,10,
71,2,Sep 18 1971,Sat,Lafayette,13,,Rutgers,7,
72,2,Sep 18 1971,Sat,Louisiana State,37,,Texas A&M,0,
73,2,Sep 18 1971,Sat,Louisville,0,@,Vanderbilt,0,
74,2,Sep 18 1971,Sat,Maryland,35,,North Carolina State,7,
75,2,Sep 18 1971,Sat,Miami (OH),17,@,Xavier,7,
76,2,Sep 18 1971,Sat,(4) Michigan,56,,Virginia,0,
77,2,Sep 18 1971,Sat,Mississippi,49,@,Memphis,21,
78,2,Sep 18 1971,Sat,Mississippi State,13,,Florida,10,
79,2,Sep 18 1971,Sat,Morehead State,29,,Marshall,6,
80,2,Sep 18 1971,Sat,(1) Nebraska,35,,Minnesota,7,
81,2,Sep 18 1971,Sat,New Mexico,13,@,Texas Tech,10,
82,2,Sep 18 1971,Sat,North Carolina,27,@,Illinois,0,
83,2,Sep 18 1971,Sat,Northern Illinois,48,,Long Beach State,38,
84,2,Sep 18 1971,Sat,(2) Notre Dame,50,,Northwestern,7,
85,2,Sep 18 1971,Sat,(10) Oklahoma,30,,Southern Methodist,0,
86,2,Sep 18 1971,Sat,Oregon,36,,Utah,29,
87,2,Sep 18 1971,Sat,Oregon State,33,,Iowa,19,
88,2,Sep 18 1971,Sat,(14) Penn State,56,@,Navy,3,
89,2,Sep 18 1971,Sat,Presbyterian,35,,Furman,14,
90,2,Sep 18 1971,Sat,(17) Southern California,24,@,Rice,0,
91,2,Sep 18 1971,Sat,Southern Illinois,31,@,Dayton,14,
92,2,Sep 18 1971,Sat,(13) Stanford,38,@,Army,3,
93,2,Sep 18 1971,Sat,(8) Tennessee,48,,California-Santa Barbara,6,
94,2,Sep 18 1971,Sat,(3) Texas,28,@,UCLA,10,
95,2,Sep 18 1971,Sat,Texas Christian,42,,Texas-Arlington,0,
96,2,Sep 18 1971,Sat,Texas-El Paso,21,,Pacific,3,
97,2,Sep 18 1971,Sat,Toledo,10,,Villanova,7,
98,2,Sep 18 1971,Sat,U.S. International,20,@,Cal State Los Angeles,7,
99,2,Sep 18 1971,Sat,Utah State,34,,New Mexico State,0,
100,2,Sep 18 1971,Sat,Virginia Military Institute,27,,Davidson,3,
101,2,Sep 18 1971,Sat,Wake Forest,20,@,Virginia Tech,9,
102,2,Sep 18 1971,Sat,Washington,38,,Purdue,35,
103,2,Sep 18 1971,Sat,Weber State,20,,North Texas,0,
104,2,Sep 18 1971,Sat,West Texas State,14,,Lamar,6,
105,2,Sep 18 1971,Sat,Western Michigan,9,@,Ball State,0,
106,2,Sep 18 1971,Sat,William & Mary,28,@,East Carolina,10,
107,2,Sep 18 1971,Sat,Wisconsin,20,@,(15) Syracuse,20,
108,3,Sep 25 1971,Sat,Air Force,23,,Wyoming,19,
109,3,Sep 25 1971,Sat,(8) Alabama,38,@,Florida,0,
110,3,Sep 25 1971,Sat,Arizona,14,@,Texas-El Paso,6,
111,3,Sep 25 1971,Sat,(15) Arizona State,41,@,Utah,21,
112,3,Sep 25 1971,Sat,Army,16,@,Georgia Tech,13,
113,3,Sep 25 1971,Sat,(5) Auburn,10,@,(9) Tennessee,9,
114,3,Sep 25 1971,Sat,Baylor,10,,Indiana,0,
115,3,Sep 25 1971,Sat,Boston College,49,,Navy,6,
116,3,Sep 25 1971,Sat,Bowling Green,47,,East Carolina,21,
117,3,Sep 25 1971,Sat,California,34,,San Jose State,10,
118,3,Sep 25 1971,Sat,Citadel,44,,Boston University,37,
119,3,Sep 25 1971,Sat,(10) Colorado,20,@,(6) Ohio State,14,
120,3,Sep 25 1971,Sat,Cornell,38,,Colgate,20,
121,3,Sep 25 1971,Sat,Dartmouth,31,@,Massachusetts,7,
122,3,Sep 25 1971,Sat,Drake,10,,Louisville,7,
123,3,Sep 25 1971,Sat,(20) Duke,28,@,Virginia,0,
124,3,Sep 25 1971,Sat,Florida State,30,,Kansas,7,
125,3,Sep 25 1971,Sat,(14) Georgia,28,@,Clemson,0,
126,3,Sep 25 1971,Sat,Hawaii,44,,Linfield,6,
127,3,Sep 25 1971,Sat,Holy Cross,21,@,Harvard,16,
128,3,Sep 25 1971,Sat,Houston,12,@,Cincinnati,3,
129,3,Sep 25 1971,Sat,Idaho,10,,Colorado State,0,
130,3,Sep 25 1971,Sat,Idaho State,19,,Cal State Los Angeles,6,
131,3,Sep 25 1971,Sat,Iowa State,44,@,New Mexico,20,
132,3,Sep 25 1971,Sat,Kansas State,23,,Brigham Young,7,
133,3,Sep 25 1971,Sat,Lafayette,3,,Columbia,0,
134,3,Sep 25 1971,Sat,Long Beach State,15,,Pacific,14,
135,3,Sep 25 1971,Sat,(18) Louisiana State,38,@,Wisconsin,28,
136,3,Sep 25 1971,Sat,Marshall,15,,Xavier,13,
137,3,Sep 25 1971,Sat,Miami (FL),29,@,Wake Forest,10,
138,3,Sep 25 1971,Sat,Miami (OH),14,@,Dayton,0,
139,3,Sep 25 1971,Sat,(4) Michigan,38,,UCLA,0,
140,3,Sep 25 1971,Sat,Michigan State,31,,Oregon State,14,
141,3,Sep 25 1971,Sat,Mississippi,34,@,Kentucky,20,
142,3,Sep 25 1971,Sat,Missouri,24,,Southern Methodist,12,
143,3,Sep 25 1971,Sat,Montana State,37,,Fresno State,28,
144,3,Sep 25 1971,Sat,(1) Nebraska,34,,Texas A&M,7,
145,3,Sep 25 1971,Sat,New Mexico State,10,,North Texas,0,
146,3,Sep 25 1971,Sat,North Carolina,35,,Maryland,14,
147,3,Sep 25 1971,Sat,Northwestern,12,,Syracuse,6,
148,3,Sep 25 1971,Sat,(2) Notre Dame,8,@,Purdue,7,
149,3,Sep 25 1971,Sat,Ohio,37,,Kent State,21,
150,3,Sep 25 1971,Sat,(11) Oklahoma,55,@,Pittsburgh,29,
151,3,Sep 25 1971,Sat,Oklahoma State,24,,Virginia Tech,16,
152,3,Sep 25 1971,Sat,(12) Penn State,44,@,Iowa,14,
153,3,Sep 25 1971,Sat,Pennsylvania,28,,Lehigh,14,
154,3,Sep 25 1971,Sat,Rhode Island,34,@,Brown,21,
155,3,Sep 25 1971,Sat,Rice,14,,Tulane,11,
156,3,Sep 25 1971,Sat,Rutgers,33,@,Princeton,18,
157,3,Sep 25 1971,Sat,South Carolina,24,,North Carolina State,6,
158,3,Sep 25 1971,Sat,(16) Southern California,28,,Illinois,0,
159,3,Sep 25 1971,Sat,Southern Mississippi,10,,San Diego State,0,
160,3,Sep 25 1971,Sat,(13) Stanford,38,,Oregon,17,
161,3,Sep 25 1971,Sat,Tampa,31,@,Chattanooga,14,
162,3,Sep 25 1971,Sat,(3) Texas,28,,Texas Tech,0,
163,3,Sep 25 1971,Sat,(19) Toledo,23,@,Texas-Arlington,0,
164,3,Sep 25 1971,Sat,Tulsa,21,@,(7) Arkansas,20,
165,3,Sep 25 1971,Sat,Utah State,27,,Nevada-Las Vegas,7,
166,3,Sep 25 1971,Sat,Vanderbilt,49,@,Mississippi State,19,
167,3,Sep 25 1971,Sat,Villanova,13,,Virginia Military Institute,3,
168,3,Sep 25 1971,Sat,(17) Washington,44,,Texas Christian,26,
169,3,Sep 25 1971,Sat,Washington State,31,@,Minnesota,20,
170,3,Sep 25 1971,Sat,West Virginia,16,@,Richmond,3,
171,3,Sep 25 1971,Sat,Western Michigan,27,,Northern Illinois,17,
172,3,Sep 25 1971,Sat,Wichita State,12,,Trinity (Texas),8,
173,3,Sep 25 1971,Sat,William & Mary,40,,Davidson,14,
174,3,Sep 25 1971,Sat,Wofford,27,,Furman,0,
175,3,Sep 25 1971,Sat,Yale,23,,Connecticut,0,
176,4,Oct 1 1971,Fri,Miami (FL),41,,Baylor,15,
177,4,Oct 1 1971,Fri,New Mexico,14,@,Brigham Young,0,
178,4,Oct 2 1971,Sat,(7) Alabama,40,,Mississippi,6,
179,4,Oct 2 1971,Sat,Appalachian State,35,N,Davidson,10,
180,4,Oct 2 1971,Sat,(13) Arizona State,24,,Texas-El Paso,7,
