Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 13 1969,Sat,Air Force,26,@,Southern Methodist,22,
2,1,Sep 13 1969,Sat,Ball State,10,,Buffalo,7,
3,1,Sep 13 1969,Sat,Kent State,24,,Dayton,14,
4,1,Sep 13 1969,Sat,Louisville,24,@,Drake,24,
5,1,Sep 13 1969,Sat,Miami (OH),35,,Xavier,7,
6,1,Sep 13 1969,Sat,North Dakota State,28,,Northern Illinois,0,
7,1,Sep 13 1969,Sat,Texas-El Paso,14,,Pacific,10,
8,1,Sep 13 1969,Sat,(17) UCLA,37,,Oregon State,0,
9,1,Sep 13 1969,Sat,Villanova,41,,West Chester,14,
10,1,Sep 13 1969,Sat,Wake Forest,22,@,North Carolina State,21,
11,1,Sep 13 1969,Sat,West Virginia,57,,Cincinnati,11,
12,1,Sep 13 1969,Sat,Western Michigan,24,,Central Michigan,0,
13,1,Sep 13 1969,Sat,Wichita State,17,,Utah State,7,
14,2,Sep 20 1969,Sat,(13) Alabama,17,@,Virginia Tech,13,
15,2,Sep 20 1969,Sat,Arizona State,48,,(19) Minnesota,26,
16,2,Sep 20 1969,Sat,(2) Arkansas,39,,Oklahoma State,0,
17,2,Sep 20 1969,Sat,Army,31,,New Mexico,14,
18,2,Sep 20 1969,Sat,(20) Auburn,57,,Wake Forest,0,
19,2,Sep 20 1969,Sat,Boston University,20,@,Colgate,0,
20,2,Sep 20 1969,Sat,Brigham Young,22,,Colorado State,20,
21,2,Sep 20 1969,Sat,Buffalo,17,,Xavier,0,
22,2,Sep 20 1969,Sat,Cincinnati,26,,William & Mary,18,
23,2,Sep 20 1969,Sat,Citadel,41,@,Lehigh,16,
24,2,Sep 20 1969,Sat,Clemson,21,@,Virginia,14,
25,2,Sep 20 1969,Sat,Colorado,35,,Tulsa,14,
26,2,Sep 20 1969,Sat,Davidson,21,@,Guilford,8,
27,2,Sep 20 1969,Sat,East Tennessee State,7,,East Carolina,0,
28,2,Sep 20 1969,Sat,Florida,59,,(7) Houston,34,
29,2,Sep 20 1969,Sat,Florida State,24,,Wichita State,0,
30,2,Sep 20 1969,Sat,Fresno State,27,,Cal Poly-Pomona,7,
31,2,Sep 20 1969,Sat,Furman,14,@,Presbyterian,12,
32,2,Sep 20 1969,Sat,(8) Georgia,35,,Tulane,0,
33,2,Sep 20 1969,Sat,Georgia Tech,24,,Southern Methodist,21,
34,2,Sep 20 1969,Sat,(14) Indiana,58,@,Kentucky,30,
35,2,Sep 20 1969,Sat,Kansas State,45,@,Baylor,15,
36,2,Sep 20 1969,Sat,Long Beach State,32,@,California-Santa Barbara,16,
37,2,Sep 20 1969,Sat,Louisiana State,35,,Texas A&M,6,
38,2,Sep 20 1969,Sat,Louisville,17,,Southern Illinois,13,
39,2,Sep 20 1969,Sat,Miami (OH),19,@,Dayton,9,
40,2,Sep 20 1969,Sat,Michigan,42,,Vanderbilt,14,
41,2,Sep 20 1969,Sat,(12) Michigan State,27,,Washington,11,
42,2,Sep 20 1969,Sat,(9) Mississippi,28,,Memphis,3,
43,2,Sep 20 1969,Sat,Mississippi State,17,,Richmond,14,
44,2,Sep 20 1969,Sat,(10) Missouri,19,,Air Force,17,
45,2,Sep 20 1969,Sat,Morehead State,27,,Marshall,14,
46,2,Sep 20 1969,Sat,New Mexico State,21,,Howard Payne,14,
47,2,Sep 20 1969,Sat,North Carolina State,10,,North Carolina,3,
48,2,Sep 20 1969,Sat,North Texas,40,,Louisiana,6,
49,2,Sep 20 1969,Sat,Northern Arizona,21,@,West Texas State,20,
50,2,Sep 20 1969,Sat,Northern Illinois,47,,Idaho,30,
51,2,Sep 20 1969,Sat,(11) Notre Dame,35,,Northwestern,10,
52,2,Sep 20 1969,Sat,Ohio,35,,Kent State,0,
53,2,Sep 20 1969,Sat,(6) Oklahoma,48,@,Wisconsin,21,
54,2,Sep 20 1969,Sat,Oregon,28,@,Utah,17,
55,2,Sep 20 1969,Sat,Oregon State,42,@,Iowa,14,
56,2,Sep 20 1969,Sat,Pacific,21,,Western Michigan,0,
57,2,Sep 20 1969,Sat,(3) Penn State,45,@,Navy,22,
58,2,Sep 20 1969,Sat,(18) Purdue,42,@,Texas Christian,35,
59,2,Sep 20 1969,Sat,Rice,55,,Virginia Military Institute,0,
60,2,Sep 20 1969,Sat,Rutgers,44,@,Lafayette,22,
61,2,Sep 20 1969,Sat,South Carolina,27,,Duke,20,
62,2,Sep 20 1969,Sat,(5) Southern California,31,@,Nebraska,21,
63,2,Sep 20 1969,Sat,Southern Mississippi,14,,Southeastern Louisiana,6,
64,2,Sep 20 1969,Sat,(16) Stanford,63,,San Jose State,21,
65,2,Sep 20 1969,Sat,Syracuse,14,,Iowa State,13,
66,2,Sep 20 1969,Sat,(15) Tennessee,31,,Chattanooga,0,
67,2,Sep 20 1969,Sat,(4) Texas,17,@,California,0,
68,2,Sep 20 1969,Sat,Texas Tech,38,,Kansas,22,
69,2,Sep 20 1969,Sat,Toledo,45,,Villanova,18,
70,2,Sep 20 1969,Sat,(17) UCLA,42,,Pittsburgh,8,
71,2,Sep 20 1969,Sat,Utah State,14,@,Bowling Green,6,
72,2,Sep 20 1969,Sat,Washington State,19,@,Illinois,18,
73,2,Sep 20 1969,Sat,West Virginia,31,,Maryland,7,
74,2,Sep 20 1969,Sat,Wyoming,23,,Arizona,7,
75,3,Sep 26 1969,Fri,Florida State,16,@,Miami (FL),14,
76,3,Sep 27 1969,Sat,(15) Alabama,63,,Southern Mississippi,14,
