Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 27 1986,Wed,(5) Alabama,16,N,(9) Ohio State,10,
2,1,Aug 30 1986,Sat,Air Force,24,,Hawaii,17,
3,1,Aug 30 1986,Sat,Angelo State,20,@,New Mexico State,14,
4,1,Aug 30 1986,Sat,Ball State,20,@,Northern Illinois,10,
5,1,Aug 30 1986,Sat,(13) Florida,38,,Georgia Southern,14,
6,1,Aug 30 1986,Sat,(11) Florida State,24,,Toledo,0,
7,1,Aug 30 1986,Sat,Kansas State,35,,Western Illinois,7,
8,1,Aug 30 1986,Sat,Louisiana Tech,22,@,Tulsa,17,
9,1,Aug 30 1986,Sat,(3) Miami (FL),34,@,South Carolina,14,
10,1,Aug 30 1986,Sat,Nevada,49,,Cal State Fullerton,3,
11,1,Aug 30 1986,Sat,Texas-El Paso,64,,Northern Michigan,29,
12,1,Sep 1 1986,Mon,Maryland,10,@,Pittsburgh,7,
13,2,Sep 6 1986,Sat,Air Force,23,@,Texas-El Paso,21,
14,2,Sep 6 1986,Sat,(5) Alabama,42,,Vanderbilt,10,
15,2,Sep 6 1986,Sat,Arizona,37,,Houston,3,
16,2,Sep 6 1986,Sat,(14) Auburn,42,,Chattanooga,14,
17,2,Sep 6 1986,Sat,(12) Baylor,31,@,Wyoming,28,
18,2,Sep 6 1986,Sat,Bowling Green,21,,Ohio,16,
19,2,Sep 6 1986,Sat,(18) Brigham Young,52,,Utah State,0,
20,2,Sep 6 1986,Sat,Cincinnati,24,@,Virginia Tech,20,
21,2,Sep 6 1986,Sat,Colorado State,23,@,Colorado,7,
22,2,Sep 6 1986,Sat,Duke,17,@,Northwestern,6,
23,2,Sep 6 1986,Sat,Eastern Michigan,21,,Western Michigan,14,
24,2,Sep 6 1986,Sat,Fresno State,55,,Montana State,2,
25,2,Sep 6 1986,Sat,Hawaii,20,,Wisconsin,17,
26,2,Sep 6 1986,Sat,Illinois,23,,Louisville,0,
27,2,Sep 6 1986,Sat,Kent State,18,,Toledo,16,
28,2,Sep 6 1986,Sat,(3) Miami (FL),23,@,(13) Florida,15,
29,2,Sep 6 1986,Sat,Miami (OH),45,,Ball State,7,
30,2,Sep 6 1986,Sat,Mississippi,28,,Memphis,6,
31,2,Sep 6 1986,Sat,Mississippi State,24,@,Syracuse,17,
32,2,Sep 6 1986,Sat,(8) Nebraska,34,,(11) Florida State,17,
33,2,Sep 6 1986,Sat,New Mexico State,24,,Cal State Fullerton,21,
34,2,Sep 6 1986,Sat,North Carolina,45,,Citadel,14,
35,2,Sep 6 1986,Sat,North Carolina State,38,,East Carolina,10,
36,2,Sep 6 1986,Sat,(1) Oklahoma,38,,(4) UCLA,3,
37,2,Sep 6 1986,Sat,Oklahoma State,21,@,Louisiana,20,
38,2,Sep 6 1986,Sat,Oregon,21,@,San Jose State,14,
39,2,Sep 6 1986,Sat,Pacific,31,,Sacramento State,7,
40,2,Sep 6 1986,Sat,(6) Penn State,45,,Temple,15,
41,2,Sep 6 1986,Sat,Rice,28,,Lamar,14,
42,2,Sep 6 1986,Sat,Rutgers,11,@,Boston College,9,
43,2,Sep 6 1986,Sat,San Diego State,27,,Long Beach State,24,
44,2,Sep 6 1986,Sat,Southern Mississippi,28,,Louisiana-Monroe,19,
45,2,Sep 6 1986,Sat,(10) Tennessee,35,,New Mexico,21,
46,2,Sep 6 1986,Sat,Texas Tech,41,,Kansas State,7,
47,2,Sep 6 1986,Sat,Tulsa,51,,Tennessee Tech,0,
48,2,Sep 6 1986,Sat,Virginia,30,,South Carolina,20,
49,2,Sep 6 1986,Sat,Wake Forest,21,,Appalachian State,13,
50,2,Sep 6 1986,Sat,Washington State,34,,Nevada-Las Vegas,14,
51,2,Sep 6 1986,Sat,West Virginia,47,,Northern Illinois,14,
52,2,Sep 6 1986,Sat,Wichita State,69,,San Francisco State,6,
53,3,Sep 13 1986,Sat,Akron,17,@,Kent State,7,
54,3,Sep 13 1986,Sat,(4) Alabama,31,,Southern Mississippi,17,
55,3,Sep 13 1986,Sat,Arizona,37,,Colorado State,10,
56,3,Sep 13 1986,Sat,Arizona State,20,,(20) Michigan State,17,
57,3,Sep 13 1986,Sat,(18) Arkansas,21,,Mississippi,0,
58,3,Sep 13 1986,Sat,Arkansas State,30,@,Memphis,10,
59,3,Sep 13 1986,Sat,Army,33,,Syracuse,28,
60,3,Sep 13 1986,Sat,(12) Baylor,38,,Louisiana Tech,7,
61,3,Sep 13 1986,Sat,Boston College,21,,California,15,
62,3,Sep 13 1986,Sat,(11) Brigham Young,31,,New Mexico,30,
63,3,Sep 13 1986,Sat,Cal State Fullerton,35,,Idaho State,25,
64,3,Sep 13 1986,Sat,Central Michigan,34,,Idaho,21,
65,3,Sep 13 1986,Sat,Cincinnati,45,,Miami (OH),38,
66,3,Sep 13 1986,Sat,Eastern Michigan,18,@,Youngstown State,17,
67,3,Sep 13 1986,Sat,Fresno State,27,,Oregon State,0,
68,3,Sep 13 1986,Sat,Furman,17,@,Georgia Tech,17,
69,3,Sep 13 1986,Sat,(19) Georgia,31,,Duke,7,
70,3,Sep 13 1986,Sat,Indiana,21,,Louisville,0,
71,3,Sep 13 1986,Sat,Iowa,43,,Iowa State,7,
72,3,Sep 13 1986,Sat,Louisiana,24,,Louisiana-Monroe,20,
73,3,Sep 13 1986,Sat,(14) Louisiana State,35,,(7) Texas A&M,17,
74,3,Sep 13 1986,Sat,Marshall,21,@,Ohio,7,
75,3,Sep 13 1986,Sat,Maryland,35,,Vanderbilt,21,
76,3,Sep 13 1986,Sat,(2) Miami (FL),61,,Texas Tech,11,
77,3,Sep 13 1986,Sat,(3) Michigan,24,@,Notre Dame,23,
78,3,Sep 13 1986,Sat,Minnesota,31,,Bowling Green,7,
79,3,Sep 13 1986,Sat,Mississippi State,27,@,(8) Tennessee,23,
80,3,Sep 13 1986,Sat,Missouri,24,,Utah State,10,
81,3,Sep 13 1986,Sat,Navy,20,,Virginia,10,
82,3,Sep 13 1986,Sat,Nevada-Las Vegas,51,,Portland State,14,
83,3,Sep 13 1986,Sat,North Carolina,20,@,Kansas,0,
84,3,Sep 13 1986,Sat,Northern Iowa,17,@,Kansas State,0,
85,3,Sep 13 1986,Sat,Oregon,32,,Colorado,30,
86,3,Sep 13 1986,Sat,Pittsburgh,14,@,North Carolina State,14,
87,3,Sep 13 1986,Sat,Purdue,20,,Ball State,3,
88,3,Sep 13 1986,Sat,Rutgers,16,@,Kentucky,16,
89,3,Sep 13 1986,Sat,San Diego State,37,@,Utah,30,
90,3,Sep 13 1986,Sat,San Jose State,20,@,Washington State,13,
91,3,Sep 13 1986,Sat,South Carolina,45,,Western Carolina,24,
92,3,Sep 13 1986,Sat,Southern California,31,,Illinois,16,
93,3,Sep 13 1986,Sat,Southern Methodist,45,@,Rice,3,
94,3,Sep 13 1986,Sat,Stanford,31,@,Texas,20,
95,3,Sep 13 1986,Sat,Temple,49,@,Western Michigan,17,
96,3,Sep 13 1986,Sat,Texas Christian,48,@,Tulane,31,
97,3,Sep 13 1986,Sat,Texas-El Paso,47,@,New Mexico State,33,
98,3,Sep 13 1986,Sat,Toledo,30,,Wichita State,13,
99,3,Sep 13 1986,Sat,Tulsa,27,,Oklahoma State,23,
100,3,Sep 13 1986,Sat,Virginia Tech,20,@,Clemson,14,
101,3,Sep 13 1986,Sat,Wake Forest,31,,Boston University,0,
102,3,Sep 13 1986,Sat,(17) Washington,40,,(10) Ohio State,7,
103,3,Sep 13 1986,Sat,West Virginia,24,@,East Carolina,21,
104,3,Sep 13 1986,Sat,Wisconsin,35,,Northern Illinois,20,
105,3,Sep 13 1986,Sat,Wyoming,23,,Pacific,20,
