Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 30 1987,Sun,(17) Tennessee,23,N,(16) Iowa,22,
2,2,Sep 2 1987,Wed,Pittsburgh,27,@,Brigham Young,17,
3,2,Sep 5 1987,Sat,Alabama,38,,Southern Mississippi,6,
4,2,Sep 5 1987,Sat,(5) Auburn,31,,Texas,3,
5,2,Sep 5 1987,Sat,Austin Peay,26,@,Kansas State,22,
6,2,Sep 5 1987,Sat,Baylor,13,,Louisiana Tech,3,
7,2,Sep 5 1987,Sat,Boston College,38,,Texas Christian,20,
8,2,Sep 5 1987,Sat,California,42,,Pacific,0,
9,2,Sep 5 1987,Sat,(9) Clemson,43,,Western Carolina,0,
10,2,Sep 5 1987,Sat,Duke,41,,Colgate,6,
11,2,Sep 5 1987,Sat,East Carolina,32,@,North Carolina State,14,
12,2,Sep 5 1987,Sat,Eastern Michigan,35,,Youngstown State,20,
13,2,Sep 5 1987,Sat,(8) Florida State,40,,Texas Tech,16,
14,2,Sep 5 1987,Sat,(20) Georgia,30,,Virginia,22,
15,2,Sep 5 1987,Sat,Hawaii,44,,Cal State Fullerton,0,
16,2,Sep 5 1987,Sat,Long Beach State,51,,Montana State,15,
17,2,Sep 5 1987,Sat,(6) Louisiana State,17,@,(15) Texas A&M,3,
18,2,Sep 5 1987,Sat,Louisville,42,,Tulane,40,
19,2,Sep 5 1987,Sat,Memphis,16,,Mississippi,10,
20,2,Sep 5 1987,Sat,(10) Miami (FL),31,,(20) Florida,4,
21,2,Sep 5 1987,Sat,Miami (OH),15,@,Central Michigan,6,
22,2,Sep 5 1987,Sat,Mississippi State,31,,Louisiana,3,
23,2,Sep 5 1987,Sat,(2) Nebraska,56,,Utah State,12,
24,2,Sep 5 1987,Sat,North Carolina,34,,Illinois,14,
25,2,Sep 5 1987,Sat,(1) Oklahoma,69,,North Texas,14,
26,2,Sep 5 1987,Sat,Oklahoma State,39,,Tulsa,28,
27,2,Sep 5 1987,Sat,(11) Penn State,45,,Bowling Green,19,
28,2,Sep 5 1987,Sat,Rice,34,,Lamar,30,
29,2,Sep 5 1987,Sat,Rutgers,10,@,Cincinnati,7,
30,2,Sep 5 1987,Sat,San Jose State,24,,Eastern Illinois,3,
31,2,Sep 5 1987,Sat,South Carolina,24,,Appalachian State,3,
32,2,Sep 5 1987,Sat,Syracuse,25,,Maryland,11,
33,2,Sep 5 1987,Sat,Temple,13,@,Toledo,12,
34,2,Sep 5 1987,Sat,(17) Tennessee,49,,Colorado State,3,
35,2,Sep 5 1987,Sat,Texas-El Paso,31,,New Mexico State,0,
36,2,Sep 5 1987,Sat,(3) UCLA,47,,San Diego State,14,
37,2,Sep 5 1987,Sat,Utah,24,,New Mexico,20,
38,2,Sep 5 1987,Sat,(13) Washington,31,,Stanford,21,
39,2,Sep 5 1987,Sat,Washington State,41,,Fresno State,24,
40,2,Sep 5 1987,Sat,West Virginia,23,,Ohio,3,
41,2,Sep 5 1987,Sat,Western Michigan,24,,Akron,19,
42,2,Sep 5 1987,Sat,Wyoming,27,,Air Force,13,
43,2,Sep 7 1987,Mon,Michigan State,27,,(19) Southern California,13,
44,3,Sep 12 1987,Sat,Air Force,21,,Texas Christian,10,
45,3,Sep 12 1987,Sat,(19) Alabama,24,@,(11) Penn State,13,
46,3,Sep 12 1987,Sat,(15) Arizona State,21,@,Illinois,7,
47,3,Sep 12 1987,Sat,(13) Arkansas,31,@,Mississippi,10,
48,3,Sep 12 1987,Sat,(4) Auburn,49,,Kansas,0,
49,3,Sep 12 1987,Sat,Boston College,28,,Temple,7,
50,3,Sep 12 1987,Sat,Brigham Young,22,@,Texas,17,
51,3,Sep 12 1987,Sat,Central Michigan,30,@,Idaho,18,
52,3,Sep 12 1987,Sat,Cincinnati,25,@,Louisville,0,
53,3,Sep 12 1987,Sat,(10) Clemson,22,@,Virginia Tech,10,
