Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 28 1991,Wed,(7) Penn State,34,N,(8) Georgia Tech,22,
2,1,Aug 29 1991,Thu,(1) Florida State,44,N,(19) Brigham Young,28,
3,1,Aug 31 1991,Sat,Air Force,48,,Weber State,31,
4,1,Aug 31 1991,Sat,(17) Auburn,32,,Georgia Southern,17,
5,1,Aug 31 1991,Sat,Bowling Green,17,,Eastern Michigan,6,
6,1,Aug 31 1991,Sat,Central Michigan,17,@,Ohio,17,
7,1,Aug 31 1991,Sat,Colorado State,38,,Arkansas State,24,
8,1,Aug 31 1991,Sat,Georgia,48,,Western Carolina,0,
9,1,Aug 31 1991,Sat,Hawaii,32,@,Wyoming,17,
10,1,Aug 31 1991,Sat,(12) Houston,73,,Louisiana Tech,3,
11,1,Aug 31 1991,Sat,Illinois,38,,East Carolina,31,
12,1,Aug 31 1991,Sat,Louisiana-Monroe,21,@,Louisiana,10,
13,1,Aug 31 1991,Sat,Louisville,24,,Eastern Kentucky,14,
14,1,Aug 31 1991,Sat,(3) Miami (FL),31,@,Arkansas,3,
15,1,Aug 31 1991,Sat,Miami (OH),15,,Ball State,7,
16,1,Aug 31 1991,Sat,Mississippi,22,@,Tulane,3,
17,1,Aug 31 1991,Sat,Mississippi State,47,,Cal State Fullerton,3,
18,1,Aug 31 1991,Sat,Pittsburgh,34,@,West Virginia,3,
19,1,Aug 31 1991,Sat,Rutgers,20,,Boston College,13,
20,1,Aug 31 1991,Sat,Sacramento State,43,@,Pacific,40,
21,1,Aug 31 1991,Sat,Southern Mississippi,25,,Delta State,7,
22,1,Aug 31 1991,Sat,Texas-El Paso,35,,New Mexico,19,
23,1,Aug 31 1991,Sat,Tulsa,34,,Missouri State,13,
24,1,Aug 31 1991,Sat,Utah,12,,Utah State,7,
25,1,Aug 31 1991,Sat,Virginia Tech,41,,James Madison,12,
26,1,Aug 31 1991,Sat,Western Michigan,13,,Kent State,10,
27,1,Sep 2 1991,Mon,Memphis,24,@,(16) Southern California,10,
28,2,Sep 5 1991,Thu,(11) Tennessee,28,@,Louisville,11,
29,2,Sep 7 1991,Sat,Air Force,31,@,Colorado State,26,
30,2,Sep 7 1991,Sat,(20) Alabama,41,,Temple,3,
31,2,Sep 7 1991,Sat,Arkansas,17,,Southern Methodist,6,
32,2,Sep 7 1991,Sat,Ball State,33,@,Navy,10,
33,2,Sep 7 1991,Sat,Baylor,27,,Texas-El Paso,7,
34,2,Sep 7 1991,Sat,California,86,,Pacific,24,
35,2,Sep 7 1991,Sat,Central Michigan,27,,Louisiana,24,
36,2,Sep 7 1991,Sat,(8) Clemson,34,,Appalachian State,0,
37,2,Sep 7 1991,Sat,(12) Colorado,30,,Wyoming,13,
38,2,Sep 7 1991,Sat,Duke,24,@,South Carolina,24,
39,2,Sep 7 1991,Sat,(6) Florida,59,,San Jose State,21,
40,2,Sep 7 1991,Sat,(1) Florida State,38,,Tulane,11,
41,2,Sep 7 1991,Sat,Fresno State,55,,Northern Illinois,7,
42,2,Sep 7 1991,Sat,Georgia,31,,Louisiana State,10,
43,2,Sep 7 1991,Sat,(15) Iowa,53,,Hawaii,10,
44,2,Sep 7 1991,Sat,Iowa State,42,,Eastern Illinois,13,
45,2,Sep 7 1991,Sat,Kansas,30,@,Toledo,7,
46,2,Sep 7 1991,Sat,Kansas State,26,,Indiana State,25,
47,2,Sep 7 1991,Sat,Kentucky,23,,Miami (OH),20,
48,2,Sep 7 1991,Sat,Maryland,17,,Virginia,6,
49,2,Sep 7 1991,Sat,(2) Michigan,35,@,Boston College,13,
50,2,Sep 7 1991,Sat,Mississippi,10,@,Memphis,0,
51,2,Sep 7 1991,Sat,Mississippi State,13,,(13) Texas,6,
52,2,Sep 7 1991,Sat,(14) Nebraska,59,,Utah State,28,
53,2,Sep 7 1991,Sat,Nevada,50,,Nevada-Las Vegas,8,
54,2,Sep 7 1991,Sat,North Carolina State,7,,Virginia Tech,0,
55,2,Sep 7 1991,Sat,Northwestern State,28,@,Arkansas State,3,
56,2,Sep 7 1991,Sat,(7) Notre Dame,49,,Indiana,27,
57,2,Sep 7 1991,Sat,(22) Ohio State,38,,Arizona,14,
58,2,Sep 7 1991,Sat,Oregon,40,,Washington State,14,
59,2,Sep 7 1991,Sat,(5) Penn State,81,,Cincinnati,0,
60,2,Sep 7 1991,Sat,Pittsburgh,35,,Southern Mississippi,14,
61,2,Sep 7 1991,Sat,Purdue,49,,Eastern Michigan,3,
62,2,Sep 7 1991,Sat,(24) Syracuse,37,,Vanderbilt,10,
63,2,Sep 7 1991,Sat,Texas Christian,60,,New Mexico,7,
64,2,Sep 7 1991,Sat,Texas Tech,41,,Cal State Fullerton,7,
65,2,Sep 7 1991,Sat,Tulsa,13,,Oklahoma State,7,
66,2,Sep 7 1991,Sat,(23) UCLA,27,,(25) Brigham Young,23,
67,2,Sep 7 1991,Sat,Utah,22,@,Oregon State,10,
68,2,Sep 7 1991,Sat,(4) Washington,42,@,Stanford,7,
69,2,Sep 7 1991,Sat,West Virginia,24,,Bowling Green,17,
70,2,Sep 7 1991,Sat,Western Michigan,35,,Akron,12,
71,2,Sep 8 1991,Sun,San Diego State,49,,Long Beach State,13,
72,3,Sep 12 1991,Thu,(2) Miami (FL),40,,(10) Houston,10,
73,3,Sep 14 1991,Sat,Air Force,24,@,Utah,21,
74,3,Sep 14 1991,Sat,Arizona,28,,Stanford,23,
75,3,Sep 14 1991,Sat,Arizona State,30,@,Oklahoma State,3,
76,3,Sep 14 1991,Sat,Army,51,,Colgate,22,
77,3,Sep 14 1991,Sat,(15) Auburn,23,,Mississippi,13,
78,3,Sep 14 1991,Sat,(23) Baylor,16,@,(12) Colorado,14,
79,3,Sep 14 1991,Sat,Boise State,48,,Long Beach State,14,
80,3,Sep 14 1991,Sat,California,42,,Purdue,18,
81,3,Sep 14 1991,Sat,Central Michigan,20,@,(18) Michigan State,3,
82,3,Sep 14 1991,Sat,Duke,42,,Rutgers,22,
83,3,Sep 14 1991,Sat,East Carolina,20,,Memphis,13,
84,3,Sep 14 1991,Sat,(6) Florida,35,,(16) Alabama,0,
85,3,Sep 14 1991,Sat,(1) Florida State,58,,Western Michigan,0,
86,3,Sep 14 1991,Sat,Fresno State,34,@,Washington State,30,
87,3,Sep 14 1991,Sat,(17) Georgia Tech,30,@,Boston College,14,
88,3,Sep 14 1991,Sat,Hawaii,35,,New Mexico,13,
89,3,Sep 14 1991,Sat,Illinois State,25,@,Akron,3,
90,3,Sep 14 1991,Sat,(14) Iowa,29,@,Iowa State,10,
91,3,Sep 14 1991,Sat,Kansas,23,,Tulsa,17,
92,3,Sep 14 1991,Sat,Kansas State,41,,Idaho State,7,
93,3,Sep 14 1991,Sat,Louisiana Tech,21,,Montana,11,
94,3,Sep 14 1991,Sat,Miami (OH),29,,Eastern Michigan,3,
95,3,Sep 14 1991,Sat,(3) Michigan,24,,(7) Notre Dame,14,
96,3,Sep 14 1991,Sat,Minnesota,26,,San Jose State,20,
97,3,Sep 14 1991,Sat,(25) Mississippi State,48,,Tulane,0,
98,3,Sep 14 1991,Sat,Missouri,23,,Illinois,19,
99,3,Sep 14 1991,Sat,(13) Nebraska,71,,Colorado State,14,
100,3,Sep 14 1991,Sat,Nevada-Las Vegas,23,,Oregon State,9,
101,3,Sep 14 1991,Sat,North Carolina,51,,Cincinnati,16,
102,3,Sep 14 1991,Sat,North Carolina State,47,,Kent State,0,
103,3,Sep 14 1991,Sat,Northern Illinois,22,,Arkansas State,21,
104,3,Sep 14 1991,Sat,Ohio,35,,Tennessee Tech,14,
105,3,Sep 14 1991,Sat,(19) Ohio State,23,,Louisville,15,
106,3,Sep 14 1991,Sat,(9) Oklahoma,40,,North Texas,2,
107,3,Sep 14 1991,Sat,Oregon,28,@,Texas Tech,13,
108,3,Sep 14 1991,Sat,(24) Pittsburgh,26,,Temple,7,
109,3,Sep 14 1991,Sat,Rice,36,@,Northwestern,7,
110,3,Sep 14 1991,Sat,San Diego State,55,,Pacific,34,
111,3,Sep 14 1991,Sat,Southern California,21,,(5) Penn State,10,
112,3,Sep 14 1991,Sat,(22) Syracuse,31,@,Maryland,17,
113,3,Sep 14 1991,Sat,(11) Tennessee,30,,(21) UCLA,16,
114,3,Sep 14 1991,Sat,(20) Texas A&M,45,,Louisiana State,7,
115,3,Sep 14 1991,Sat,Texas Christian,22,,Ball State,16,
116,3,Sep 14 1991,Sat,Texas-El Paso,22,@,New Mexico State,21,
117,3,Sep 14 1991,Sat,Vanderbilt,14,,Southern Methodist,11,
118,3,Sep 14 1991,Sat,Virginia,17,,Navy,10,
119,3,Sep 14 1991,Sat,Wake Forest,40,,Western Carolina,24,
120,3,Sep 14 1991,Sat,West Virginia,21,,South Carolina,16,
121,3,Sep 14 1991,Sat,Wisconsin,31,,Western Illinois,13,
