Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 7 1974,Sat,Appalachian State,16,@,East Tennessee State,7,
2,1,Sep 7 1974,Sat,(15) Arizona State,30,,(11) Houston,9,
3,1,Sep 7 1974,Sat,Cal Poly-Pomona,13,@,Fresno State,12,
4,1,Sep 7 1974,Sat,Dayton,21,@,Drake,7,
5,1,Sep 7 1974,Sat,Kent State,21,@,Central Michigan,14,
6,1,Sep 7 1974,Sat,McNeese State,19,,Northern Illinois,16,
7,1,Sep 7 1974,Sat,Memphis,16,@,Louisville,10,
8,1,Sep 7 1974,Sat,Miami (OH),39,,Eastern Michigan,0,
9,1,Sep 7 1974,Sat,Mississippi State,49,,William & Mary,7,
10,1,Sep 7 1974,Sat,New Mexico State,13,@,Wichita State,12,
11,1,Sep 7 1974,Sat,(18) North Carolina State,33,@,Wake Forest,15,
12,1,Sep 7 1974,Sat,Pacific,21,,Sacramento State,0,
13,1,Sep 7 1974,Sat,Richmond,14,,Villanova,13,
14,1,Sep 7 1974,Sat,San Jose State,47,,Santa Clara,10,
15,1,Sep 7 1974,Sat,Syracuse,23,,Oregon State,15,
16,1,Sep 7 1974,Sat,Tampa,28,@,Chattanooga,0,
17,1,Sep 7 1974,Sat,(12) UCLA,17,@,(16) Tennessee,17,
18,1,Sep 7 1974,Sat,Western Michigan,33,,Texas-Arlington,6,
19,1,Sep 9 1974,Mon,(3) Notre Dame,31,@,Georgia Tech,7,
20,2,Sep 14 1974,Sat,Air Force,37,,Idaho,0,
21,2,Sep 14 1974,Sat,(3) Alabama,21,@,(14) Maryland,16,
22,2,Sep 14 1974,Sat,Appalachian State,18,,Middle Tennessee State,7,
23,2,Sep 14 1974,Sat,(17) Arizona,17,,San Diego State,10,
24,2,Sep 14 1974,Sat,(20) Arkansas,22,,(5) Southern California,7,
25,2,Sep 14 1974,Sat,Army,14,,Lafayette,7,
26,2,Sep 14 1974,Sat,Auburn,16,,Louisville,3,
27,2,Sep 14 1974,Sat,Citadel,6,,Presbyterian,0,
28,2,Sep 14 1974,Sat,Dayton,23,@,Eastern Kentucky,17,
29,2,Sep 14 1974,Sat,East Carolina,24,,Bowling Green,6,
30,2,Sep 14 1974,Sat,Eastern Michigan,20,,Western Michigan,19,
31,2,Sep 14 1974,Sat,Florida,21,,California,17,
32,2,Sep 14 1974,Sat,Georgia,48,,Oregon State,35,
33,2,Sep 14 1974,Sat,Georgia Tech,35,,South Carolina,20,
34,2,Sep 14 1974,Sat,Hawaii,15,,Brigham Young,13,
35,2,Sep 14 1974,Sat,(19) Houston,21,@,Rice,0,
36,2,Sep 14 1974,Sat,Illinois,16,,Indiana,0,
37,2,Sep 14 1974,Sat,Kansas,14,@,Washington State,7,
38,2,Sep 14 1974,Sat,Kansas State,31,,Tulsa,14,
39,2,Sep 14 1974,Sat,Kent State,20,@,Syracuse,14,
40,2,Sep 14 1974,Sat,Kentucky,38,@,Virginia Tech,7,
41,2,Sep 14 1974,Sat,(9) Louisiana State,42,,Colorado,14,
42,2,Sep 14 1974,Sat,(6) Michigan,24,,Iowa,7,
43,2,Sep 14 1974,Sat,Michigan State,41,,Northwestern,7,
44,2,Sep 14 1974,Sat,Mississippi,10,,(18) Missouri,0,
45,2,Sep 14 1974,Sat,Morehead State,14,,Marshall,12,
46,2,Sep 14 1974,Sat,Navy,35,,Virginia,28,
47,2,Sep 14 1974,Sat,(7) Nebraska,61,,Oregon,7,
48,2,Sep 14 1974,Sat,New Mexico,32,,Colorado State,23,
49,2,Sep 14 1974,Sat,New Mexico State,28,,Southern Illinois,9,
50,2,Sep 14 1974,Sat,North Carolina,42,,Ohio,7,
51,2,Sep 14 1974,Sat,(16) North Carolina State,35,,Duke,21,
52,2,Sep 14 1974,Sat,Northern Illinois,16,,Long Beach State,14,
53,2,Sep 14 1974,Sat,(4) Ohio State,34,@,Minnesota,19,
54,2,Sep 14 1974,Sat,(1) Oklahoma,28,,Baylor,11,
55,2,Sep 14 1974,Sat,Oklahoma State,59,,Wichita State,0,
56,2,Sep 14 1974,Sat,Pacific,17,@,Texas-El Paso,14,
57,2,Sep 14 1974,Sat,(8) Penn State,24,,(20) Stanford,20,
58,2,Sep 14 1974,Sat,(13) Pittsburgh,9,@,Florida State,6,
