TeamID,TeamName,Alias,Division,Conference,ConferenceAbbr,ShortName
84,"Ohio",NULL,"FBS","Mid-American Conference","MAC","Ohio"
85,"Ohio State",NULL,"FBS","Big Ten Conference","Big Ten","Ohio State"
86,"Oklahoma",NULL,"FBS","Southeastern Conference","SEC","Oklahoma"
87,"Oklahoma State",NULL,"FBS","Big 12 Conference","Big 12","Okla State"
88,"Old Dominion",NULL,"FBS","Sun Belt Conference","Sun Belt","Old Dom"
89,"Ole Miss","Mississippi","FBS","Southeastern Conference","SEC","Ole Miss"
90,"Oregon",NULL,"FBS","Big Ten Conference","Big Ten","Oregon"
91,"Oregon State",NULL,"FBS","Pac-12 Conference","Pac-12","Oregon St"
92,"Penn State",NULL,"FBS","Big Ten Conference","Big Ten","Penn State"
93,"Pitt","Pittsburgh","FBS","Atlantic Coast Conference","ACC","Pitt"
94,"Purdue",NULL,"FBS","Big Ten Conference","Big Ten","Purdue"
95,"Rice",NULL,"FBS","American Athletic Conference","AAC","Rice"
96,"Rutgers",NULL,"FBS","Big Ten Conference","Big Ten","Rutgers"
97,"Sam Houston",NULL,"FBS","Conference USA","C-USA","Sam Houston"
98,"San Diego State",NULL,"FBS","Mountain West Conference","MW","SD State"
99,"San Jose State",NULL,"FBS","Mountain West Conference","MW","SJ State"
100,"SMU","Southern Methodist","FBS","Atlantic Coast Conference","ACC","SMU"
101,"South Alabama",NULL,"FBS","Sun Belt Conference","Sun Belt","S Alabama"
102,"South Carolina",NULL,"FBS","Southeastern Conference","SEC","S Carolina"
103,"South Florida",NULL,"FBS","American Athletic Conference","AAC","S Florida"
104,"Southern Mississippi",NULL,"FBS","Sun Belt Conference","Sun Belt","So Miss"
105,"Stanford",NULL,"FBS","Atlantic Coast Conference","ACC","Stanford"
106,"Syracuse",NULL,"FBS","Atlantic Coast Conference","ACC","Syracuse"
107,"TCU","Texas Christian","FBS","Big 12 Conference","Big 12","TCU"
108,"Temple",NULL,"FBS","American Athletic Conference","AAC","Temple"
109,"Tennessee",NULL,"FBS","Southeastern Conference","SEC","Tennessee"
110,"Texas",NULL,"FBS","Southeastern Conference","SEC","Texas"
111,"Texas A&M",NULL,"FBS","Southeastern Conference","SEC","Texas A&M"
112,"Texas State",NULL,"FBS","Sun Belt Conference","Sun Belt","Texas St"
113,"Texas Tech",NULL,"FBS","Big 12 Conference","Big 12","Texas Tech"
114,"Toledo",NULL,"FBS","Mid-American Conference","MAC","Toledo"
115,"Troy",NULL,"FBS","Sun Belt Conference","Sun Belt","Troy"
116,"Tulane",NULL,"FBS","American Athletic Conference","AAC","Tulane"
117,"Tulsa",NULL,"FBS","American Athletic Conference","AAC","Tulsa"
118,"UAB","Alabama-Birmingham","FBS","American Athletic Conference","AAC","UAB"
